NAME,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,0,0,5,13,11,6,2,0,5,0,2
Angola,0,0,0,0,0,0,0,0,0,0,0
Albania,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0
Argentina,0,0,0,0,0,0,2,0,3,7,0
Armenia,0,0,0,0,0,0,0,0,0,0,0
Antarctica,0,0,0,0,2,0,0,0,0,0,0
Fr. S. Antarctic Lands,0,0,0,0,0,0,0,0,0,0,0
Australia,0,0,5,2,3,8,5,1,6,3,1
Austria,0,0,0,0,0,0,1,0,0,0,0
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0
Burundi,0,0,0,0,0,0,0,0,0,0,0
Belgium,0,0,0,0,0,0,0,0,1,2,0
Benin,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,0,0,0,0,0,0,0,1,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0
Bahamas,2,0,0,0,0,0,1,0,0,0,1
Bosnia and Herz.,0,0,0,0,0,0,0,0,0,0,0
Belarus,0,0,0,0,0,0,0,0,0,0,0
Belize,0,0,0,0,0,0,0,1,0,0,0
Bolivia,0,0,0,0,0,0,0,0,0,0,0
Brazil,0,0,0,1,2,3,0,4,1,1,2
Brunei,0,0,0,0,0,0,0,0,0,0,0
Bhutan,0,0,0,0,0,0,0,0,0,0,0
Botswana,0,0,0,0,0,0,0,0,0,0,0
Central African Rep.,0,0,0,0,0,0,0,0,0,0,0
Canada,0,0,3,18,9,7,7,15,6,30,3
Switzerland,0,0,0,0,0,0,0,2,0,6,0
Chile,0,0,0,0,0,0,0,0,0,0,0
China,0,0,68,196,97,34,35,14,39,71,73
Côte d'Ivoire,0,0,0,0,0,0,0,0,0,0,0
Cameroon,0,0,0,0,1,0,0,0,0,0,0
Dem. Rep. Congo,0,0,0,0,0,0,0,0,0,0,0
Congo,0,0,0,0,0,0,0,0,0,0,0
Colombia,0,0,0,0,1,1,3,0,1,0,0
Costa Rica,0,0,0,0,1,0,0,0,0,0,0
Cuba,0,0,0,10,56,9,5,7,4,0,3
N. Cyprus,0,0,0,0,0,0,0,0,0,0,0
Cyprus,0,0,0,0,3,0,0,0,0,0,0
Czechia,0,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,2,3,0,2,5,9,13,1
Djibouti,0,0,0,0,0,0,0,0,0,0,0
Denmark,0,0,0,0,0,0,0,0,1,0,0
Dominican Rep.,0,0,0,0,0,0,1,0,0,0,0
Algeria,0,0,0,0,1,0,0,0,0,0,0
Ecuador,0,0,0,0,0,0,0,0,0,0,0
Egypt,0,0,3,27,13,1,0,0,5,2,2
Eritrea,0,0,0,0,0,0,0,0,0,0,0
Spain,0,0,0,2,3,1,1,0,3,1,0
Estonia,0,0,0,0,0,0,0,0,0,1,0
Ethiopia,0,0,0,0,0,0,1,0,0,0,1
Finland,0,0,1,0,1,0,0,0,0,5,0
Fiji,0,0,0,0,0,0,0,0,0,0,0
Falkland Is.,0,0,0,0,0,0,0,0,0,0,0
France,0,0,0,6,0,0,5,5,13,21,5
Gabon,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,0,0,0,0,0,0,1,0,3,2,7
Georgia,0,0,1,4,1,2,10,10,11,21,3
Ghana,0,0,0,0,0,0,0,0,0,1,0
Guinea,0,0,0,0,0,0,0,0,0,0,0
Gambia,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0
Eq. Guinea,0,0,0,0,0,0,0,0,0,0,0
Greece,0,0,1,5,1,0,0,0,2,0,0
Greenland,0,0,0,0,0,0,0,0,0,0,0
Guatemala,0,0,0,0,0,0,0,0,0,3,1
Guyana,0,0,0,0,0,0,0,0,0,0,0
Honduras,0,0,0,0,0,0,0,0,0,6,1
Croatia,0,0,0,0,0,0,0,0,0,0,0
Haiti,0,0,0,0,0,0,0,1,0,1,0
Hungary,0,0,0,0,0,0,0,0,0,0,1
Indonesia,0,0,0,4,0,0,2,0,0,1,0
India,0,0,0,4,5,15,4,44,8,20,8
Ireland,0,0,0,0,1,54,16,2,1,1,1
Iran,0,0,33,50,60,22,74,21,20,32,30
Iraq,0,0,25,17,26,57,24,14,5,3,0
Iceland,0,0,0,0,0,0,0,0,0,0,0
Israel,0,0,22,36,11,12,16,18,10,7,15
Italy,0,0,2,0,1,0,1,1,3,5,1
Jamaica,0,0,0,0,0,1,1,0,1,0,0
Jordan,0,0,1,3,8,9,15,1,4,2,19
Japan,0,0,0,3,2,3,5,3,16,17,33
Kazakhstan,0,0,0,0,0,0,0,0,0,1,0
Kenya,0,0,0,7,1,5,49,0,0,5,0
Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,0
Cambodia,0,0,0,0,0,0,0,0,0,0,0
South Korea,0,0,0,1,8,1,1,0,14,10,4
Kosovo,0,0,0,0,0,0,0,0,0,0,0
Kuwait,0,0,0,0,1,0,0,0,1,1,0
Laos,0,0,0,0,0,0,0,0,0,0,0
Lebanon,0,0,0,0,1,0,1,0,1,1,0
Liberia,0,0,0,0,0,1,0,0,0,0,0
Libya,0,0,15,31,0,1,1,4,1,0,0
Sri Lanka,0,0,0,0,0,0,0,0,0,0,3
Lesotho,0,0,0,0,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,1,0,0,1,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0
Latvia,0,0,0,0,0,0,0,0,0,0,0
Morocco,0,0,0,0,0,0,0,3,0,0,0
Moldova,0,0,0,0,0,0,0,0,0,0,0
Madagascar,0,0,0,0,0,0,0,0,0,0,0
