Id,Name,Bio,Search_Name
1,Belegaer,"Also known as the Sundering Seas or the Great Sea, Belegaer is a large body of salt water that lays to the west of Middle Earth.",Belegaer
2,The Bay of Belfalas,"The Bay of Belfalas is a large southern bay in the Great Sea of Belegaer. It extends from Andrast to the mouth of the Anduin River, south into the unknown southern shores. Most of the rivers in Gondor flow into the Bay of Belfalas, and there are many smaller bays and capes along its shores.",The Bay of Belfalas
3,Forlindon,"Forlindon is the northern territory of the Lindon region in the westlands. It is divided from the southern Lindon province, Harlindon, by the Gulf of Lhûn. The territory is presided over by the Elves, and is valuable for its many ports and harbors, from which the Elves sail for the West. Forlindon extends from the Great Sea at the West to the Blue Mountains in the East.",Forlindon
4,Harlindon,"Harlindon is the southern territory of the Lindon region in the westlands. It is divided from the northern Lindon province, Forlindon, by the Gulf of Lhûn. The territory is presided over by the Elves, and is valuable for its many ports and harbors, from which the Elves sail for the West. Harlindon extends from the Great Sea at the West to the Blue Mountains in the East.",Harlindon
5,Himling,Himling is a small island located roughly twenty-five miles off the coast of Forlindon in the northern part of the Great Sea. The island is not known to be inhabited by any intelligent beings.,Himling
6,Forlond,"Forlond is a harbor located along the southern coastline of Forlindon. It is presided over by the Elves, who use the port to travel by sea through the Gulf of Lhûn into the Great Sea of Belegaer. Its name, Forlond, is a Sindarin word meaning ‘North-haven’.",Forlond
7,Harlond,"Harlond is a harbor located along the northern coastline of Harlindon. It is presided over by the Elves, who use the port to travel by sea through the Gulf of Lhûn into the Great Sea of Belegaer. Its name, Harlond, is a Sindarin word meaning ‘South-haven’.",Harlond
8,Gulf of Lhûn,"The Gulf of Lhûn, also known as the Gulf of Lune, is a body of water jutting inland from the Great Sea. It serves as the divide between the norther Lindon province Forlindon and the southern province Harlindon. The Gulf of Lhûn serves as the mouth of the River Lune and its calmer waters host several important Elven harbors, among which are Forlond, Harlond, and Mithlond.",Gulf of Lhun
9,Ered Luin,"Ered Luin, also known as the Blue Mountains, are a mountain range in western Middle Earth. They make up the eastern border of the Elven Lindon regions and the western border of Eriador. Ered Luin are divided in half by the Gulf of Lune.",Ered Luin
10,Lhûn,"The River Lhun, more commonly known as the River Lune, is a river located in northwestern Eriador. It is over one-hundred fifty miles in length. The river begins in the northern Blue Mountains and empties into the Gulf of Lhun, and eventually into the Great Sea. The River Lhun is over one hundred fifty miles in length.",Lhun
11,Mithlond (Grey Havens),"Mithlond, also known as Grey Havens, is a large Elven port located at the mouth of the River Lhun, on the easternmost point of the Gulf of Lhun. It is of great cultural and spiritual importance to the Elves despite its sparse population, and it a common starting point for Elves sailing to the West.",Mithlond (Grey Havens)
12,Blue Mountains,"Ered Luin, also known as the Blue Mountains, are a mountain range in western Middle Earth. They make up the eastern border of the Elven Lindon regions and the western border of Eriador. Ered Luin are divided in half by the Gulf of Lune.",Blue Mountains
13,Ice Bay of Forochel,"The Ice Bay of Forochel is a large body of water located north of Eriador and northwest of Forodwaith in the cold northern regions of Middle Earth. The bay is known to completely freeze over during the winter, making travel by ship impossible.",Ice Bay of Forochel
14,Carn Dûm,"Carn Dûm is the capital city of the Region of Angmar, established at the westernmost point of the Mountains of Angmar. Created and presided over by the Witch-King, the city is predominantly occupied by Orcs and other evil creatures of darkness.",Carn Dum
15,Hithaeglir,"The Misty Mountains, also known by their Sindarin name ‘Hithaeglir’, are an enormous range of snowcapped mountains that bisect Middle Earth. They run 795.35 miles from Mount Gundabad in the far north to Isengard and the Gap of Rohan in the South. Through the mountains wind countless miles of caves, as well as tunnels created by the Dwarves and Goblins that call the range home.",Hithaeglir
16,Mountains of Angmar,"The Mountains of Angmar are an offshoot range of the Misty Mountains, extending from Mount Gundabad in the east to Carn Dûm in the west. The mountains are the defining feature of the Kingdom of Angmar.",Mountains of Angmar
17,Mount Gundabad,"Mount Gundabad is a large mountain-stronghold. It is the northernmost point of the Misty Mountains and the easternmost point of the Kingdom of Angmar. While originally a prominent and sacred Dwarven city, it was eventually taken over by Orcs, and remains an important Orkish fortress.",Mount Gundabad
18,Forodwaith,Forodwaith is the northernmost region of Middle Earth. Its name is a Sinderan word translating loosely to ‘northern waste’. It is a vast tundra with incessant high winds and often freezing temperatures.,Forodwaith
19,Emyn Uial,"Emyn Uial, also known as the Hills of Evendim are a series of hills located in northern Eriador. They lay roughly a hundred miles north of the Shire. These hills contain Lake Evendim, which is the source of the Brandywine River.",Emyn Uial
20,The Lost Realm of Arnor,"The Realm of Arnor was founded Elendil and his sons, who then went on to found the Realm of Gondor. Once vast and powerful, the Realm of Arnor became poorly managed and was eventually split apart into three regions, Arthedain, Cardolan, and Rhudaur. The lands that were once the Realm of Arnor now comprise the region of Eriador. The region is predominantly populated by the hobbits of The Shire along with various settlements of men.",The Lost Realm of Arnor
21,Nenuial,"Nenuial, also known as Lake Evendim, is one of the many lakes of Middle Earth. Bounded on the west by the Hills of Evendim, Neunial is the source of the Brandywine River. Located on the south shore of the lake is the ancient city Annúminas, which was once the capital of the now nonexistent Realm of Arnor. The name Nenuial is Sindarin for ‘Lake of Twilight.’",Nenuial
22,Annúminas,"Annúminas is a city of men located on the south shore of Lake Evendim. Once the grand capital of the Lost Realm of Arnor, years of war and depopulation have left the city an empty shell of its former self.",Annúminas
23,North Downs,North Downs is a small territory located in the northeastern region of Eriador. The area is predominantly populated by farmers and small villages of men.,North Downs
24,Fornost,"Fornost was a city located in the Eriador region of Middle Earth. Once the second capital of the Realm of Arnor, the city is completely abandoned and has been reclaimed by nature over the span of a thousand years. It is avoided by travelers, as many believe it to be haunted.",Fornost
25,Chetwood,"Chetwood is a small forest located northeast of the town of Bree, in the region of Eriador. It is located directly east of the Andrath Greenway.",Chetwood
26,Midgewater,"The Midgewater Marshes are a swamp located northeast of Bree. The terrain is boggy and unyielding, dotted with pools and reeds. The marshes are home to biting midges, which are annoying cricket-like insects.",Midgewater
