census_block_group,visitor_home_cbgs,income,rent,unemploy_ratio
550039506002.0,{},277,50,0.05578512396694214
550439604003.0,{},297,57,0.034426229508196717
550730016004.0,"{""550730011021"":93,""550730012011"":55}",528,59,0.02230483271375465
550791601004.0,"{""550791603001"":227,""550791603004"":175,""550791873003"":135,""550791602033"":134,""550791501004"":116,""551010017051"":115,""550791704002"":114,""550791601001"":113,""550791602021"":113,""550791603003"":112,""550791501003"":112,""550791601002"":107,""550791602043"":101,""550791602032"":99,""550791873002"":95,""550791872002"":95,""550791602022"":94,""550791501001"":92,""550791205013"":90,""550791702002"":86,""550791602031"":86,""550590026012"":85,""550791503012"":84,""550790216001"":78,""551010017032"":77,""550791503031"":77,""550791503041"":75,""550590026021"":75,""550790216002"":74,""550791707002"":74,""550791805002"":71,""550590026022"":71,""550791603002"":70,""550790217005"":69,""551010016013"":69,""551314702041"":67,""551010019001"":67,""550791873001"":65,""550791872001"":64,""550791402023"":64,""550791503032"":64,""550791702001"":63,""550791402024"":63,""551010018021"":62,""550791602024"":61,""550590006022"":59,""550791701001"":59,""550790147002"":58,""550790074001"":56,""550791602023"":55,""550590003001"":55,""550590027001"":55,""550791874001"":55,""551010015013"":54,""551332019002"":54,""550896603041"":54,""550896602022"":54,""550791402013"":54,""550896502001"":53,""550790214001"":53,""170978609061"":53,""550791201011"":51,""550791602041"":50,""551332017042"":50,""551332034052"":50}",739,627,0.0529739776951673
550859709001.0,"{""550859710021"":66}",461,44,0.028884462151394424
550870105001.0,"{""550870133002"":70,""550870125031"":64,""550870115023"":61,""550870125042"":60,""550870125032"":52}",442,122,0.027808676307007785
551110006001.0,"{""551110006002"":57}",538,75,0.027049180327868846
551332025003.0,"{""551332021012"":160,""551332021023"":85,""551332038031"":83,""551332023013"":82,""551332024003"":75,""551332021031"":72,""551332016003"":60,""551332017042"":58,""551332023012"":55,""551332013004"":55,""551332039011"":51,""551332024001"":50}",317,61,0.017069701280227598
550250029002.0,"{""550250120013"":126,""550250114012"":76,""550250103001"":66,""550250031003"":58,""550250015023"":56,""550250104002"":51,""550250120011"":51,""550250120012"":50}",545,284,0.04571984435797665
551010027012.0,"{""551010028004"":143,""551010027011"":94,""551010028003"":91,""551010027024"":75,""551010020022"":66,""551010027022"":61,""551010028002"":55}",767,67,0.031746031746031744
551351011003.0,"{""551151009001"":59,""551351011004"":52}",357,68,0.07503410641200546
550250004072.0,"{""550250108005"":97,""550250005043"":75,""550250107021"":68,""550250004071"":64,""550250137001"":62,""550250005033"":60,""550250004054"":57}",770,411,0.06340718105423988
550310207002.0,{},516,33,0.0
550791204004.0,"{""550790191002"":54}",517,92,0.015250544662309372
551110001004.0,"{""551110001003"":152,""551110001001"":120,""551110003004"":113,""551110004011"":110,""551110010012"":102,""550630005002"":89,""551110002001"":81,""550019507003"":79,""551110010011"":77,""550219703003"":71,""550571007003"":69,""550219703001"":68,""551110010013"":67,""551110001002"":67,""551110003001"":64,""551110004012"":59,""551110003003"":56,""550250109011"":55,""551110006002"":55,""550250112002"":53,""550219703002"":53,""550250114023"":52,""551110010021"":50}",863,423,0.0
550139707001.0,"{""550139704003"":70}",622,74,0.0283203125
551050002001.0,"{""551050013041"":141,""551050012023"":73,""551050013025"":66,""551050009002"":60,""551050012012"":60,""551050002003"":56,""551050012013"":56,""551050013021"":55,""551050013042"":54,""551050007002"":54,""551050010001"":53}",368,25,0.03428571428571428
551332031034.0,"{""551332021012"":93,""551332022024"":73,""551332031026"":61}",553,356,0.04242424242424242
550250004051.0,"{""550250109011"":373,""550250112002"":195,""550250109031"":162,""550250137001"":161,""550250113011"":151,""550250004061"":146,""550250128004"":145,""550250109042"":144,""550250108005"":139,""550250125022"":135,""550250109044"":123,""550250108001"":120,""550250128003"":109,""550250120013"":103,""550250014033"":101,""550250114023"":101,""550250125011"":101,""550250002043"":101,""550250005043"":101,""550250107021"":98,""550250130001"":94,""550459601002"":92,""551110006002"":91,""550250107023"":84,""550250109041"":84,""550250006002"":82,""550250004054"":81,""550250115031"":81,""550250004072"":77,""550250016031"":77,""550250125023"":76,""550250005033"":75,""550250015023"":74,""551110007001"":74,""550250014023"":74,""550250108002"":73,""550250124001"":72,""550250004053"":72,""550250108003"":69,""550250108004"":67,""550250014031"":67,""550250002051"":66,""550250005035"":66,""550250014032"":66,""550250126003"":66,""550459602003"":66,""550250124002"":64,""550250107013"":64,""550250002022"":63,""550250111021"":62,""550250115032"":60,""551050029004"":59,""550250111012"":59,""550250132001"":59,""550250004071"":59,""550250131004"":58,""550250110001"":58,""550250011011"":58,""550250127001"":58,""550250012004"":57,""550250005044"":57,""550250002041"":55,""550250112003"":55,""550250127002"":54,""550250113012"":54,""550250011022"":54,""550250105024"":53,""550250122021"":53,""550499501001"":52,""550250114012"":51,""550250110002"":51,""550250002021"":50,""550250003001"":50,""550250109043"":50,""550250006003"":50,""550250005042"":50}",501,475,0.021621621621621623
550870126022.0,"{""550870126023"":117,""551351008003"":95,""550870126012"":73,""550870127003"":71,""550870127002"":65,""550870126014"":55,""550870128005"":54}",395,6,0.025136612021857924
550919501001.0,"{""550919501002"":58,""550919502001"":50}",579,66,0.007794232268121589
551270005023.0,"{""551270005011"":174,""550551016001"":157,""551270005021"":83,""551270004002"":74,""551270005022"":56}",515,375,0.08988764044943821
551314401043.0,"{""551314401031"":128,""551314401032"":126,""551314401041"":120,""551314401061"":109,""551314401051"":98,""551314501061"":92,""551314601013"":85,""551314501062"":78,""550279615001"":72,""551314501032"":70,""551314402003"":68,""551314501042"":67,""551314601011"":67,""551314501051"":66,""551314301003"":60,""551314401052"":54,""551314402002"":53,""551314401062"":52,""551314601021"":50,""551314402001"":50}",1483,456,0.00409976084728391
551332017011.0,"{""551332017034"":111,""551332017042"":110,""551332019003"":93,""551332017013"":88,""551332017033"":87,""551332019002"":77,""551332015042"":68,""551332017043"":65,""551010020011"":62,""551332018001"":58,""551332017014"":57,""551010020023"":57,""551332017044"":54,""551332017041"":52,""551332019001"":51}",345,36,0.05890227576974565
550790027002.0,{},391,307,0.07065868263473053
550090205034.0,"{""550090205041"":203,""550831013002"":161,""550090202033"":159,""550090202042"":159,""550090205031"":141,""550090205042"":127,""550090202031"":115,""550090202043"":111,""550099400012"":90,""550831013003"":70,""550090205022"":69,""550090202032"":67,""550099400013"":65,""550090202041"":56}",1059,238,0.022447183098591554
550250105021.0,"{""550250105024"":97,""550250105011"":76,""550250105022"":62,""551050013041"":52,""550250120013"":50}",490,34,0.028181818181818183
550790018002.0,{},228,120,0.091796875
550790914002.0,"{""550790912001"":60}",469,149,0.012154696132596685
551332019003.0,"{""551332019002"":116,""551332017034"":115,""551010020023"":111,""551010020011"":110,""551332017042"":104,""551010020022"":95,""551332017033"":92,""551010028004"":83,""551332017044"":81,""551010027011"":80,""551010020021"":75,""551010028003"":74,""551010027022"":73,""551332019001"":71,""551332017013"":68,""551010027012"":67,""551332017043"":64,""551010028002"":64,""551010027024"":58,""551332017041"":57,""551010018021"":54,""551332018001"":53}",671,103,0.020194986072423395
551332042005.0,"{""551332042002"":123,""550551017022"":87,""551332043021"":63,""551332041004"":52}",527,43,0.03
551079601001.0,{},305,45,0.019366197183098594
550090003032.0,"{""550090205041"":146,""550099400013"":141,""550831013002"":136,""550099400012"":128,""550090205022"":94,""550090205034"":88,""550099400021"":84,""550090202033"":79,""550090205031"":78,""550090205042"":77,""550090202042"":75,""550090202031"":75,""550099400031"":73,""550090003022"":70,""550090207021"":67,""550090018022"":66,""550090003021"":66,""550090202043"":65,""550090004014"":63,""550090003031"":61,""550090213013"":58,""550831013003"":56,""550090003023"":55,""550090216002"":55,""550090004013"":54,""550090205023"":54,""550090004011"":53,""550090020031"":52,""550090002004"":50}",724,655,0.025801407349491795
550199504004.0,{},534,164,0.029126213592233014
550790007002.0,"{""550790007003"":56}",257,13,0.03361344537815126
550959603003.0,"{""550959603001"":53}",763,254,0.023578363384188623
551010012024.0,{},352,179,0.11218985976267529
551050021002.0,"{""551050017002"":79,""551050020002"":73,""551050021001"":65,""551050022001"":57,""551050020001"":57,""551050017001"":50}",373,130,0.044604316546762585
551131003002.0,"{""551131003001"":78,""551131003003"":55,""551299503002"":52}",756,296,0.06774193548387096
551270007011.0,"{""551270007013"":62,""551270006001"":51}",240,96,0.024528301886792447
