cbg_d,cbg_o,number
550090018012,550090018022,176
550090018012,550090018021,141
550090018012,550099400013,107
550090018012,550090207021,103
550090018012,550090201002,103
550090018012,550619604003,101
550090018012,550090020031,94
550090018012,550831013002,91
550090018012,550090207032,88
550090018012,550090205041,80
550090018012,550090202033,69
550090018012,550090205034,69
550090018012,550090020021,65
550090018012,550090201001,64
550090018012,550090202042,62
550090018012,550090018011,61
550090018012,550619604002,60
550090018012,550099400012,55
550090018012,550291010002,53
550090018012,550090207033,53
550090018012,550090017012,51
550090018012,550090202043,51
550090018012,550090205042,50
550090018012,550090202031,50
550250115053,550250115031,233
550250115053,550250114023,228
550250115053,550250115032,199
550250115053,550250116002,149
550250115053,550250118001,110
550250115053,550250116003,107
550250115053,550250115041,94
550250115053,550250115062,91
550250115053,550250115052,88
550250115053,550250115061,86
550250115053,550250115042,85
550250115053,550250120013,83
550250115053,550250117002,82
550250115053,550250117001,80
550250115053,550250115051,73
550250115053,550250120011,70
550250115053,550250114021,54
550250115053,550250116001,50
550339708003,550339707001,131
550339708003,550339705001,118
550339708003,550339708002,113
550339708003,550339707003,104
550339708003,550339708001,74
550339708003,550339704004,73
550339708003,550339707002,59
550339708003,550339703002,58
550339708003,550339704001,56
550339708003,550339705002,56
550339708003,550339705003,54
550339708003,550339703004,53
550870114002,550870125051,170
550870114002,550870133002,144
550870114002,550870125031,140
550870114002,550870115023,119
550870114002,550870125042,115
550870114002,550870125032,103
550870114002,550150207001,97
550870114002,550870129012,90
550870114002,550870111022,87
550870114002,550870126014,86
550870114002,550870129021,86
550870114002,550870126012,86
550870114002,550870111014,85
550870114002,550870133001,80
550870114002,550150203062,68
550870114002,550870129022,67
550870114002,550870119002,66
550870114002,550870129011,64
550870114002,550150203081,60
550870114002,550870114001,60
550870114002,550870120002,59
550870114002,550870125041,56
550870114002,550870111023,56
550870114002,550870128005,55
550870114002,550870111021,55
550870114002,550870121004,52
550870114002,550150208002,52
550870114002,550870125061,52
550870114002,550870119001,52
550870114002,550870114003,52
550870114002,550870126011,51
550870114002,550870128002,51
550870114002,550870111011,50
551010010011,551010017051,141
551010010011,551010017032,90
551010010011,551010017052,73
551010010011,551010018021,70
551010010011,551010017024,69
551010010011,551010010031,68
551010010011,551010009043,64
551010010011,551010011003,64
551010010011,551010016013,64
551010010011,551010017062,59
551010010011,550791603001,57
551010010011,551010010013,56
551010010011,551010012011,55
551010010011,551010009044,54
551010010011,551010017011,52
551010010011,551010016021,51
551010010011,551010009034,51
551010010011,551010012022,50
551010010011,551010017033,50
551010010011,551010017013,50
551010010011,551010017063,50
551314501041,551314501042,245
551314501041,551314501032,208
551314501041,551314501031,124
551314501041,551314601013,122
551314501041,551314702041,122
551314501041,551314601011,107
551314501041,551314201061,101
551314501041,551314501051,98
551314501041,551314001043,96
551314501041,551314501061,94
551314501041,551314202004,93
551314501041,551314301001,93
551314501041,551314401051,91
551314501041,551314401032,90
551314501041,551314401043,87
551314501041,551314401031,81
551314501041,551314201034,69
551314501041,551314001041,68
551314501041,551314301003,68
551314501041,551314201041,68
551314501041,551314501062,67
551314501041,551314401041,67
551314501041,550896502001,66
551314501041,551314001021,66
551314501041,550896503004,63
551314501041,551314501063,62
551314501041,551314601024,61
551314501041,551314702021,61
551314501041,550390411004,59
551314501041,551314001042,58
551314501041,551314601021,58
551314501041,551314201052,56
551314501041,551314203003,55
551314501041,551314401061,53
551314501041,551314001033,52
551314501041,551314701002,51
551314501041,551314204012,50
551314501041,551314501043,50
551332037031,551332037032,126
551332037031,551332034052,125
551332037031,550551017022,123
551332037031,551332043011,109
551332037031,551332042002,97
551332037031,551332045022,89
551332037031,551332045025,79
551332037031,551332045021,71
551332037031,551332034051,70
551332037031,551332042005,69
551332037031,551332041004,65
551332037031,551332037041,64
551332037031,551332037043,63
551332037031,551332035003,62
551332037031,551332043012,62
551332037031,551332033041,61
551332037031,550551017021,60
551332037031,551332036011,58
551332037031,550279615003,56
551332037031,551332043021,53
551332037031,551332035004,52
551332037031,551332036021,52
551390018011,551390018031,112
551390018011,551390022012,111
551390018011,550150207001,104
551390018011,551390007003,103
551390018011,551390018041,103
551390018011,550099400013,101
551390018011,551390019001,98
551390018011,551390018032,92
551390018011,551390018043,87
551390018011,551390020002,86
551390018011,551390007002,84
551390018011,551390024005,84
551390018011,551390009001,79
551390018011,550390411004,77
551390018011,551390023002,76
551390018011,551390023001,76
