census_block_group,distance_from_home,state,county
550790136001,6356,WI,Milwaukee County
550250016043,41451,WI,Dane County
550790093003,5438,WI,Milwaukee County
550790075001,12168,WI,Milwaukee County
551010017021,13382,WI,Racine County
550790030004,6808,WI,Milwaukee County
551390011002,5440,WI,Winnebago County
551010017022,11716,WI,Racine County
551010007005,5624,WI,Racine County
551390013003,37047,WI,Winnebago County
550090008001,12490,WI,Brown County
550870106021,6321,WI,Outagamie County
550590023001,5176,WI,Kenosha County
551050031004,11135,WI,Rock County
550310203001,12728,WI,Douglas County
550310303004,148589,WI,Douglas County
550791205011,8674,WI,Milwaukee County
550630001001,10033,WI,La Crosse County
550590015003,5417,WI,Kenosha County
550791002004,5765,WI,Milwaukee County
550791201023,17532,WI,Milwaukee County
550090213034,41457,WI,Brown County
550791004002,8135,WI,Milwaukee County
550791005001,8454,WI,Milwaukee County
550790111001,9101,WI,Milwaukee County
550870115023,31774,WI,Outagamie County
551010002004,5000,WI,Racine County
550090210002,8483,WI,Brown County
550090210003,26444,WI,Brown County
550791302002,14371,WI,Milwaukee County
551332045021,15347,WI,Waukesha County
551332045011,20826,WI,Waukesha County
551050027002,25554,WI,Rock County
551050029002,24338,WI,Rock County
551332031021,10650,WI,Waukesha County
551332031023,5259,WI,Waukesha County
550896603042,17412,WI,Ozaukee County
550896101011,38386,WI,Ozaukee County
550896101021,107921,WI,Ozaukee County
551170102001,15728,WI,Sheboygan County
551170010004,6727,WI,Sheboygan County
551050033001,74063,WI,Rock County
551170002012,4195,WI,Sheboygan County
551170001002,6614,WI,Sheboygan County
550590015002,5714,WI,Kenosha County
550459601004,31191,WI,Green County
550459603002,23511,WI,Green County
550459605001,32585,WI,Green County
550730018003,27314,WI,Marathon County
550730006024,8598,WI,Marathon County
550730015001,136238,WI,Marathon County
550730021005,33289,WI,Marathon County
550630012003,9439,WI,La Crosse County
551332029021,17689,WI,Waukesha County
551332013002,11734,WI,Waukesha County
550590021002,4773,WI,Kenosha County
550279611003,41088,WI,Dodge County
550090206003,80776,WI,Brown County
550279604001,81706,WI,Dodge County
550279604002,70708,WI,Dodge County
550350013002,13775,WI,Eau Claire County
550350014004,8160,WI,Eau Claire County
550090006003,7708,WI,Brown County
551170103002,26845,WI,Sheboygan County
551332042001,13706,WI,Waukesha County
550039400001,193254,WI,Ashland County
550310302001,26079,WI,Douglas County
551170111002,30981,WI,Sheboygan County
550339707003,31278,WI,Dunn County
550870125062,30543,WI,Outagamie County
550310302003,108807,WI,Douglas County
550250026031,96571,WI,Dane County
551050031002,134497,WI,Rock County
550511801002,169068,WI,Iron County
550090011002,7989,WI,Brown County
550250120011,74726,WI,Dane County
551091209042,69676,WI,St. Croix County
550250018041,27897,WI,Dane County
550310206001,16178,WI,Douglas County
550790144001,18180,WI,Milwaukee County
551390015001,15941,WI,Winnebago County
550499505001,110270,WI,Iowa County
551390021001,23393,WI,Winnebago County
550619605002,45232,WI,Kewaunee County
550219703003,125872,WI,Columbia County
550250005035,28944,WI,Dane County
550499501002,64649,WI,Iowa County
550250114021,108309,WI,Dane County
550499502002,47669,WI,Iowa County
550499506004,68052,WI,Iowa County
550499505003,42315,WI,Iowa County
550499506001,39069,WI,Iowa County
550791869001,15494,WI,Milwaukee County
550791602041,56748,WI,Milwaukee County
550791204002,31564,WI,Milwaukee County
550219705003,28263,WI,Columbia County
550219707002,52758,WI,Columbia County
551390027001,5770,WI,Winnebago County
551390028002,7328,WI,Winnebago County
551390036003,8826,WI,Winnebago County
551390037013,39618,WI,Winnebago County
551390003003,5566,WI,Winnebago County
551390037026,11708,WI,Winnebago County
551332037041,40261,WI,Waukesha County
551390017001,77997,WI,Winnebago County
551390014001,5132,WI,Winnebago County
551270002004,24861,WI,Walworth County
551270017012,34930,WI,Walworth County
551270006002,66184,WI,Walworth County
551270003021,29158,WI,Walworth County
551270001011,40885,WI,Walworth County
551270002003,54994,WI,Walworth County
551270005023,35305,WI,Walworth County
550279603003,24361,WI,Dodge County
550279611001,56620,WI,Dodge County
551390005005,6208,WI,Winnebago County
550279606001,39734,WI,Dodge County
550279606002,78062,WI,Dodge County
550791856001,8360,WI,Milwaukee County
551270001012,18939,WI,Walworth County
551390007001,12013,WI,Winnebago County
551390009002,11658,WI,Winnebago County
551270003023,49691,WI,Walworth County
551270004001,27764,WI,Walworth County
551270004003,32113,WI,Walworth County
551270010002,17685,WI,Walworth County
550090205034,11346,WI,Brown County
551270008004,29940,WI,Walworth County
551270008002,54783,WI,Walworth County
551390025004,8895,WI,Winnebago County
550859714003,70150,WI,Oneida County
551390020003,31905,WI,Winnebago County
551390025001,10894,WI,Winnebago County
550339703004,24624,WI,Dunn County
550339701001,43337,WI,Dunn County
551332014023,9717,WI,Waukesha County
550339701004,45392,WI,Dunn County
551332037023,26662,WI,Waukesha County
550791205012,5255,WI,Milwaukee County
551332017032,8267,WI,Waukesha County
550350005021,10482,WI,Eau Claire County
550350005023,41123,WI,Eau Claire County
551050011002,4493,WI,Rock County
551332013003,10937,WI,Waukesha County
550630101013,112267,WI,La Crosse County
550630005001,22644,WI,La Crosse County
551332017044,13027,WI,Waukesha County
551332020022,23344,WI,Waukesha County
550630011012,16470,WI,La Crosse County
550790210001,10057,WI,Milwaukee County
550790211001,34570,WI,Milwaukee County
550790213001,6671,WI,Milwaukee County
550710003001,16894,WI,Manitowoc County
550790215001,7178,WI,Milwaukee County
550790217001,43745,WI,Milwaukee County
550790217004,44102,WI,Milwaukee County
550791005004,9122,WI,Milwaukee County
550791007001,12397,WI,Milwaukee County
550791007004,16942,WI,Milwaukee County
550790218003,5863,WI,Milwaukee County
550791012003,6036,WI,Milwaukee County
550791016003,6231,WI,Milwaukee County
550791013001,17935,WI,Milwaukee County
550791013004,7374,WI,Milwaukee County
550790200001,7669,WI,Milwaukee County
551050012011,7015,WI,Rock County
550170109002,49882,WI,Chippewa County
550791017003,7436,WI,Milwaukee County
551050012021,30900,WI,Rock County
550170109004,104093,WI,Chippewa County
550170111001,56159,WI,Chippewa County
550170105003,11207,WI,Chippewa County
551332036023,7445,WI,Waukesha County
551239603003,48939,WI,Vernon County
551239602002,42550,WI,Vernon County
551239607004,66908,WI,Vernon County
551239603001,55047,WI,Vernon County
551239601003,57442,WI,Vernon County
551239602004,43421,WI,Vernon County
550790163002,4039,WI,Milwaukee County
550551003002,36136,WI,Jefferson County
550790165001,5046,WI,Milwaukee County
550790166001,15506,WI,Milwaukee County
550790080001,9160,WI,Milwaukee County
550790081001,7728,WI,Milwaukee County
550551005001,56530,WI,Jefferson County
550790167003,5758,WI,Milwaukee County
550730001002,10660,WI,Marathon County
550239603003,69093,WI,Crawford County
550239604001,54517,WI,Crawford County
550239603001,86716,WI,Crawford County
550590028001,63413,WI,Kenosha County
550590001002,9863,WI,Kenosha County
550590001004,9733,WI,Kenosha County
550590005005,5463,WI,Kenosha County
550350001002,77164,WI,Eau Claire County
550350015001,135825,WI,Eau Claire County
550350012006,14830,WI,Eau Claire County
550590015004,4659,WI,Kenosha County
550590007003,6033,WI,Kenosha County
550590012002,4412,WI,Kenosha County
550350002004,34473,WI,Eau Claire County
550590013001,5421,WI,Kenosha County
550170103006,16411,WI,Chippewa County
550590014003,5343,WI,Kenosha County
550590014005,4645,WI,Kenosha County
550590019001,6168,WI,Kenosha County
550590020003,10072,WI,Kenosha County
550590024003,5945,WI,Kenosha County
550590026024,10744,WI,Kenosha County
550590029042,18368,WI,Kenosha County
550590029053,25531,WI,Kenosha County
550590022002,5589,WI,Kenosha County
551351007001,80966,WI,Waupaca County
551351003003,34229,WI,Waupaca County
550590023003,6133,WI,Kenosha County
551170003002,7637,WI,Sheboygan County
550590028003,32204,WI,Kenosha County
551110001002,213171,WI,Sauk County
550870126014,16009,WI,Outagamie County
551170008003,4461,WI,Sheboygan County
551170105013,19737,WI,Sheboygan County
550959611001,72521,WI,Polk County
550279608002,12511,WI,Dodge County
551332015035,21430,WI,Waukesha County
551332015051,11870,WI,Waukesha County
551170109001,16273,WI,Sheboygan County
550090002006,7692,WI,Brown County
551332031035,9583,WI,Waukesha County
550959609004,55679,WI,Polk County
550959607003,46282,WI,Polk County
551151005001,24976,WI,Shawano County
550959608003,34331,WI,Polk County
551151009001,62991,WI,Shawano County
551151002002,58125,WI,Shawano County
550959602002,50507,WI,Polk County
550790041002,4729,WI,Milwaukee County
550959608002,34698,WI,Polk County
550959609001,22158,WI,Polk County
550959605001,38017,WI,Polk County
551151011002,45946,WI,Shawano County
551151008001,92483,WI,Shawano County
551151003001,50521,WI,Shawano County
550630001003,9230,WI,La Crosse County
551151003002,72581,WI,Shawano County
551151004001,44090,WI,Shawano County
550630104022,19735,WI,La Crosse County
550199503003,121395,WI,Clark County
550699607002,30941,WI,Lincoln County
550350008013,5114,WI,Eau Claire County
550979604005,26734,WI,Portage County
550199504002,57287,WI,Clark County
551332029011,18103,WI,Waukesha County
550199503001,170090,WI,Clark County
550630105001,79591,WI,La Crosse County
551332038041,14716,WI,Waukesha County
551332038024,16824,WI,Waukesha County
551332038022,19074,WI,Waukesha County
550790042004,4331,WI,Milwaukee County
551332037043,34575,WI,Waukesha County
551332035004,14914,WI,Waukesha County
551332040045,22056,WI,Waukesha County
551332042004,9523,WI,Waukesha County
550790906004,11897,WI,Milwaukee County
551170002011,5392,WI,Sheboygan County
550790908003,6708,WI,Milwaukee County
550790127001,19544,WI,Milwaukee County
550790126002,9778,WI,Milwaukee County
550790128002,30320,WI,Milwaukee County
550790114001,11529,WI,Milwaukee County
550790135002,6773,WI,Milwaukee County
550790129002,18677,WI,Milwaukee County
550790130001,20506,WI,Milwaukee County
550790134002,19996,WI,Milwaukee County
550790135001,6308,WI,Milwaukee County
550791862002,5441,WI,Milwaukee County
550791862001,6907,WI,Milwaukee County
551010008002,11258,WI,Racine County
551379608001,71937,WI,Waushara County
550630007004,14404,WI,La Crosse County
550170103001,17346,WI,Chippewa County
550630108002,22841,WI,La Crosse County
550170109003,117249,WI,Chippewa County
550170111002,48220,WI,Chippewa County
550250013001,23662,WI,Dane County
550250014012,53464,WI,Dane County
550250015012,43575,WI,Dane County
550250017052,37070,WI,Dane County
550250019002,7282,WI,Dane County
550250019004,22355,WI,Dane County
550250019005,30396,WI,Dane County
550250024013,13110,WI,Dane County
550250020002,11859,WI,Dane County
550250030014,14698,WI,Dane County
550250021004,38739,WI,Dane County
550250022002,15071,WI,Dane County
550250024012,9810,WI,Dane County
550250026012,25855,WI,Dane County
551091205011,22021,WI,St. Croix County
550791701002,8185,WI,Milwaukee County
550250030011,70572,WI,Dane County
550250030012,48915,WI,Dane County
550791003001,7966,WI,Milwaukee County
550250014021,39280,WI,Dane County
550250022003,10743,WI,Dane County
550250126003,33264,WI,Dane County
550250027002,9971,WI,Dane County
550250004022,21872,WI,Dane County
550250004072,7005,WI,Dane County
550250005014,6467,WI,Dane County
551332016001,10750,WI,Waukesha County
550250005041,5950,WI,Dane County
550250006003,32879,WI,Dane County
550979602003,44842,WI,Portage County
550250009023,18957,WI,Dane County
550250012001,19741,WI,Dane County
550250012002,19393,WI,Dane County
551314101001,26504,WI,Washington County
551332039011,20746,WI,Waukesha County
551332016003,13782,WI,Waukesha County
550371901001,68092,WI,Florence County
551332027002,14035,WI,Waukesha County
551332033061,16093,WI,Waukesha County
551050026012,11787,WI,Rock County
551050030014,84912,WI,Rock County
551050028001,21155,WI,Rock County
551332033031,17268,WI,Waukesha County
551050032001,53197,WI,Rock County
551050032002,21505,WI,Rock County
551332034052,14127,WI,Waukesha County
551332034031,9811,WI,Waukesha County
551332037022,30634,WI,Waukesha County
550979607013,6587,WI,Portage County
551332039024,36009,WI,Waukesha County
551332017043,12938,WI,Waukesha County
550551007003,56215,WI,Jefferson County
550551010003,19995,WI,Jefferson County
551332008032,13196,WI,Waukesha County
550730004004,11694,WI,Marathon County
550730003003,5903,WI,Marathon County
551332034021,12156,WI,Waukesha County
550551015004,18952,WI,Jefferson County
550050009002,28509,WI,Barron County
550050004001,35059,WI,Barron County
550939608004,45925,WI,Pierce County
550939601001,33810,WI,Pierce County
550939606003,56503,WI,Pierce County
550939605002,30691,WI,Pierce County
550050001003,111460,WI,Barron County
550050005002,72968,WI,Barron County
550050004003,64033,WI,Barron County
550050001004,94571,WI,Barron County
550050002001,86346,WI,Barron County
550551011002,37773,WI,Jefferson County
550730011043,17978,WI,Marathon County
550551013004,27306,WI,Jefferson County
550730014003,135923,WI,Marathon County
550730019003,90443,WI,Marathon County
551332031014,10098,WI,Waukesha County
551332008013,9710,WI,Waukesha County
551332034022,9152,WI,Waukesha County
551332040032,17845,WI,Waukesha County
550551013002,35609,WI,Jefferson County
551050005003,5446,WI,Rock County
550590023005,5272,WI,Kenosha County
550590016003,4801,WI,Kenosha County
551050008004,5453,WI,Rock County
551050009002,84648,WI,Rock County
551050010001,56310,WI,Rock County
550790106001,7726,WI,Milwaukee County
550730023002,163468,WI,Marathon County
550730023004,151697,WI,Marathon County
551050018002,3984,WI,Rock County
550896601001,7729,WI,Ozaukee County
550759612003,94118,WI,Marinette County
550759601003,127331,WI,Marinette County
550759609001,37729,WI,Marinette County
550759607002,79391,WI,Marinette County
550759601002,86809,WI,Marinette County
550730023006,146929,WI,Marathon County
550730023007,23040,WI,Marathon County
550730013004,122084,WI,Marathon County
550791857003,5810,WI,Milwaukee County
551131004003,118889,WI,Sawyer County
551139400001,111783,WI,Sawyer County
550730019006,51866,WI,Marathon County
550730020001,30329,WI,Marathon County
551379607002,65261,WI,Waushara County
551050015001,16624,WI,Rock County
551050019001,14486,WI,Rock County
550551016003,31549,WI,Jefferson County
550730002003,10081,WI,Marathon County
550730021003,36270,WI,Marathon County
551351004002,32538,WI,Waupaca County
550790087002,4104,WI,Milwaukee County
550730018002,26753,WI,Marathon County
550790091002,6262,WI,Milwaukee County
550939601002,31709,WI,Pierce County
550790090001,4363,WI,Milwaukee County
550790158001,6597,WI,Milwaukee County
550790159001,6162,WI,Milwaukee County
550790160001,6723,WI,Milwaukee County
550619604004,26904,WI,Kewaunee County
550551006022,40190,WI,Jefferson County
550790088001,6023,WI,Milwaukee County
550790094001,5816,WI,Milwaukee County
550551014001,28678,WI,Jefferson County
550790094003,6507,WI,Milwaukee County
550551009002,20725,WI,Jefferson County
550551014002,29433,WI,Jefferson County
550730019001,118020,WI,Marathon County
550619604001,82661,WI,Kewaunee County
551332024004,15155,WI,Waukesha County
550896602012,15013,WI,Ozaukee County
