Area_Name,State,Region,NPS_Fee_Acres,Park_Name,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,Average,Visit_Type,Number_of_Photos
Acadia_National_Park,ME,NER,37438.18,Acadia NP,2227698,2504208,2374645,2431052,2254922,2563129,2811184,3303393,3509271,3537575,2751708,Recreation,20834
Arches_National_Park,UT,IMR,76545.95,Arches NP,996312,1014405,1040758,1070577,1082866,1284767,1399247,1585718,1539028,1663557,1267724,Recreation,31373
Badlands_National_Park,SD,MWR,111487.63,Badlands NP,933918,977778,870741,883406,892372,868094,989354,996263,1054325,1008942,947519,Recreation,11416
Big_Bend__National_Park,TX,IMR,775273.38,Big Bend NP,363905,372330,361862,292055,316953,314102,381747,388290,440276,440091,367161,Recreation,13630
BISCAYNE NP,FL,SER,171376.96,Biscayne NP,437745,467612,476077,495613,486848,525745,508164,514709,446961,469253,482873,Recreation,
BLACK CANYON OF THE GUNNISON NP,CO,IMR,29828.28,Black Canyon of the Gunnison NP,171451,176344,168336,192570,175852,183045,209166,238018,307143,308962,213089,Recreation,
Bryce_Canyon_National_Park,UT,IMR,35832.58,Bryce Canyon NP,1216377,1285492,1296000,1385352,1311875,1435741,1745804,2365110,2571684,2679478,1729291,Recreation,33392
Canyonlands_National_Park,UT,IMR,337269.4,Canyonlands NP,436241,435908,473773,452952,462242,542431,634607,776218,742271,739449,569609,Recreation,14546
Capitol_Reef_National_Park,UT,IMR,241223.33,Capitol Reef NP,617208,662661,668834,673345,663670,786514,941029,1064904,1150165,1227627,845596,Recreation,9195
Carlsbad_Caverns_National_Park,NM,IMR,46427.26,Carlsbad Caverns NP,432639,428524,365000,381058,388566,397309,445720,466773,520026,465912,429153,Recreation,7219
Channel_Islands_National_Park,CA,PWR,69425.66,Channel Islands NP,348745,277515,242756,249594,212029,342161,324816,364807,383687,366250,311236,Recreation,
CONGAREE NP,SC,SER,26384.83,Congaree NP,122970,121208,120166,109685,120340,120122,87513,143843,159595,145929,125137,Recreation,
Crater_Lake_National_Park,OR,PWR,183223.77,Crater Lake NP,446516,448319,423551,447251,523027,535508,614712,756344,711749,720659,562764,Recreation,12356
Cuyahoga_Valley_National_Park,OH,MWR,19057.54,Cuyahoga Valley NP,2589288,2492670,2161185,2299722,2103010,2189849,2284612,2423390,2226879,2096053,2286666,Recreation,11278
Death_Valley_National_park,CA-NV,PWR,3320765.33,Death Valley NP,828574,984775,946867,984568,951972,1101312,1154843,1296283,1294827,1678660,1122268,Recreation,
Denali_National_Park,AK,AKR,4732648.51,Denali NP,358041,378855,406582,388433,530922,531315,560757,587412,642809,594660,497979,Recreation,10022
DRY TORTUGAS NP,FL,SER,61481.22,Dry Tortugas NP,52011,53890,75171,60550,58401,64865,70862,73661,54281,56810,62050,Recreation,
EVERGLADES EXPANSION,FL 6/,SER,108377.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Everglades_National_Park,FL 6/,SER,1400253.48,Everglades NP,900882,915538,934351,1141906,1047116,1110901,1077427,930907,1018557,597124,967471,Recreation,19524
Gates_of_the_Arctic_National_Park,AK,AKR,7276030.2,Gates of the Arctic NP,9975,10840,11623,10899,11012,12669,10745,10047,11177,9591,10858,Recreation,
GATEWAY ARCH NP,MO-IL,MWR,85.46,Gateway Arch NP,2360109,2436110,2259020,2496726,2377258,1817091,1698656,1271855,1398188,2016180,2013119,Recreation,
Glacier_Bay_National_Park,AK,AKR,3222284.2,Glacier Bay NP,438361,444530,431986,454337,500590,500727,551353,520171,547057,597915,498703,Recreation,6854
Glacier_National_Park,MT,IMR,1012842.8,Glacier NP,2031348,2200048,1853564,2162035,2190374,2338528,2366056,2946681,3305512,2965309,2435946,Recreation,29456
Grand_Canyon_National_Park,AZ,IMR,1180650.85,Grand Canyon NP,4348068,4388386,4298178,4421352,4564840,4756771,5520736,5969811,6254238,6380495,5090288,Recreation,
Grand_Teton_National_Park,WY,IMR,273477.58,Grand Teton NP,2580081,2669374,2587437,2705256,2688794,2791392,3149921,3270076,3317000,3491151,2925048,Recreation,25070
GREAT BASIN NP,NV,PWR,77180,Great Basin NP,84974,88870,91451,94850,92893,107526,116123,144846,168028,153094,114266,Recreation,
GREAT SAND DUNES NP,CO,IMR,94687.84,Great Sand Dunes NP,289955,283284,280058,254674,242841,271774,299513,388308,486935,442905,324025,Recreation,
Great_Smoky_Mountains_National_Park,TN-NC,SER,521984.15,Great Smoky Mountains NP,9491437,9463538,9008830,9685829,9354695,10099276,10712674,11312786,11338893,11421200,10188916,Recreation,27553
GUADALUPE MOUNTAINS NP,TX,IMR,86367.1,Guadalupe Mountains NP,198882,192210,152546,159360,145670,166868,169535,181839,225257,172347,176451,Recreation,
Haleakala_National_Park,HI,PWR,33264.47,Haleakala NP,1109104,1105606,956989,1094668,785300,1142040,1216772,1263558,1112390,1044084,1083051,Recreation,13801
Hawai'i_Volcanoes_National_Park,HI,PWR,325605.28,Hawaii Volcanoes NP,1233105,1304667,1352123,1483928,1583209,1693005,1832660,1887580,2016702,1116891,1550387,Recreation,17205
