FID,FID_1,OBJECTID,Cession_Da,Nation_Cor,LinkRoyce,LinkKapple,Year_value,Square_Mil
0,0,1,-5844096000000.000000000000000,Six Nations of New York,https://archive.org/stream/annualreportofbu218smit#page/648/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/nat0005.htm,1784,25508.668025300001000
1,1,2,-5836233600000.000000000000000,"Wyandotte, Delaware, Chippewa, and Ottawa",https://archive.org/stream/annualreportofbu218smit#page/648/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/wya0006.htm,1785,67.940522053899997
2,2,3,-5809363200000.000000000000000,Cherokee,https://archive.org/stream/annualreportofbu218smit#page/648/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/che0008.htm,1785,10509.889702500001000
3,3,4,-4633632000000.000000000000000,Christian Indians,https://archive.org/stream/annualreportofbu218smit#page/650/mode/2up, ,1823,17.317038744900000
4,4,5,-4633632000000.000000000000000,Christian Indians,https://archive.org/stream/annualreportofbu218smit#page/650/mode/2up, ,1823,21.762357811499999
5,5,6,-4633632000000.000000000000000,Christian Indians,https://archive.org/stream/annualreportofbu218smit#page/652/mode/2up, ,1823,14.546918112500000
6,6,7,-5661360000000.000000000000000,Muscogee,https://archive.org/stream/annualreportofbu218smit#page/652/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/cre0025.htm,1790,11333.872423000001000
7,7,8,-5632934400000.000000000000000,Cherokee,https://archive.org/stream/annualreportofbu218smit#page/652/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/che0029.htm,1791,6672.178417340000100
8,8,9,-5526835200000.000000000000000,Six Nations,https://archive.org/stream/annualreportofbu218smit#page/652/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/six0034.htm,1794,227.824000936999990
9,9,10,-5526835200000.000000000000000,Six Nations,https://archive.org/stream/annualreportofbu218smit#page/652/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/six0034.htm,1794,252.793045565000000
10,10,11,-5503939200000.000000000000000,"Wyandotte, Delaware, Shawnee, Ottawa, Chippewa, Potawatomi,Miami, Eel River, Wea, Kickapoo, Piankishaw, and Kaskaskia",https://archive.org/stream/annualreportofbu218smit#page/654/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/wya0039.htm,1795,49874.377937700003000
11,11,12,-5503939200000.000000000000000,"Wyandotte, Delaware, Shawnee, Ottawa, Chippewa, Potawatomi,Miami, Eel River, Wea, Kickapoo, Piankishaw, and Kaskaskia",https://archive.org/stream/annualreportofbu218smit#page/654/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/wya0039.htm,1795,75.714886793000005
12,12,13,-5503939200000.000000000000000,"Wyandotte, Delaware, Shawnee, Ottawa, Chippewa, Potawatomi,Miami, Eel River, Wea, Kickapoo, Piankishaw, and Kaskaskia",https://archive.org/stream/annualreportofbu218smit#page/654/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/wya0039.htm,1795,11.462069152100000
13,13,14,-5503939200000.000000000000000,"Wyandotte, Delaware, Shawnee, Ottawa, Chippewa, Potawatomi,Miami, Eel River, Wea, Kickapoo, Piankishaw, and Kaskaskia",https://archive.org/stream/annualreportofbu218smit#page/654/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/wya0039.htm,1795,60.702080841300003
14,14,15,-5503939200000.000000000000000,"Wyandotte, Delaware, Shawnee, Ottawa, Chippewa, Potawatomi,Miami, Eel River, Wea, Kickapoo, Piankishaw, and Kaskaskia",https://archive.org/stream/annualreportofbu218smit#page/654/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/wya0039.htm,1795,70.020236477400005
15,15,16,-5503939200000.000000000000000,"Wyandotte, Delaware, Shawnee, Ottawa, Chippewa, Potawatomi,Miami, Eel River, Wea, Kickapoo, Piankishaw, and Kaskaskia",https://archive.org/stream/annualreportofbu218smit#page/654/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/wya0039.htm,1795,72.415125713600005
16,16,17,-5503939200000.000000000000000,"Wyandotte, Delaware, Shawnee, Ottawa, Chippewa, Potawatomi,Miami, Eel River, Wea, Kickapoo, Piankishaw, and Kaskaskia",https://archive.org/stream/annualreportofbu218smit#page/654/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/wya0039.htm,1795,5.294900923900000
