SCHOOL,DISTRICT,SCH_TYPE,LOW_GRADE,HIGH_GRD,TYPE_DESC,SCH_CAT,CHARTER,FULL_ADDR,PHYS_COUNT,CESA,DPI_KEY,DIST_CODE,SCH_CODE,UNIQUE,NCES_DIST,NCES_SCH,Latitude,Longitude,Comment_Vax,PctMetMinRequirements_Vax
Montello Virtual Charter Sch,Montello,Combined Elementary/Secondary School,KG,12,Public school,Regular,Charter,222 Forest Ln  Montello WI  53949-9390,Marquette,5,940,3689,800,36890800,5509870,3016,43.796797,-89.321955,Report received,70
Audubon Middle School ,Milwaukee,Middle School,6,8,Public school,Regular,No,3300 S 39th St  Milwaukee WI  53215-4019,Milwaukee,1,5041,3619,41,36190041,5509600,1123,42.983914,-87.96178,Report received,71
Cass Street Elementary ,Milwaukee,Elementary School,K3,8,Public school,Regular,No,1647 N Cass St  Milwaukee WI  53202-2026,Milwaukee,1,4395,3619,104,36190104,5509600,1139,43.051762,-87.902428,Report received,71
Drummond Jr,Drummond Area,Middle School,7,8,Public school,Regular,No,52440 Eastern Ave  Drummond WI  54832,Bayfield,12,16570,1491,50,14910050,5503810,397,46.335952,-91.255568,Report received,71
Milw Environmental Science Aca,Milwaukee,Elementary School,K4,8,Public school,Regular,Charter,6600 W Melvina St  Milwaukee WI  53216-2004,Milwaukee,1,796,3619,118,36190118,5509600,2949,43.088975,-87.99482,Report received,71
Carver Acad,Milwaukee,Elementary School,K3,8,Public school,Regular,No,1900 N 1st St  Milwaukee WI  53212-3705,Milwaukee,1,100,3619,178,36190178,5509600,2602,43.055791,-87.910387,Report received,72
Morgandale Elementary ,Milwaukee,Elementary School,K3,8,Public school,Regular,No,3635 S 17th St  Milwaukee WI  53221-1651,Milwaukee,1,5317,3619,277,36190277,5509600,1220,42.978214,-87.935635,Report received,72
Carson Acad,Milwaukee,Elementary School,K3,8,Public school,Regular,No,4920 W Capitol Dr  Milwaukee WI  53216-2321,Milwaukee,1,70076,3619,108,36190108,5509600,1829,43.090565,-87.975192,Report received,73
Falls Alt Learning Site,Oconto Falls Public,High School,9,12,Public school,Regular,Charter,320 Central Ave  Oconto Falls WI  54154,Oconto,8,51949,4074,400,40740400,5510950,1853,44.874719,-88.140735,Report received,73
Milwaukee Scholars Charter Sch,Milwaukee Scholars Charter Sch,Elementary School,K4,8,Non District Charter Schools,Regular,Charter,7000 W Florist Ave  Milwaukee WI  53218,Milwaukee,1,671,8129,100,81290100,5500065,2894,43.127756,-87.998256,Report received,73
Southeastern,Milwaukee,Middle School,6,8,Public school,Alternative,No,4200 N Holton St  Milwaukee WI  53212,Milwaukee,1,30962,3619,1086,36191086,5509600,936,43.094265,-87.905611,Report received,73
Allen-Field Elementary ,Milwaukee,Elementary School,K3,5,Public school,Regular,No,730 W Lapham Blvd  Milwaukee WI  53204-3428,Milwaukee,1,4487,3619,73,36190073,5509600,1122,43.015111,-87.920394,Report received,74
Independence High School,Independence,High School,9,12,Public school,Regular,No,23786 Indee Blvd  Independence WI  54747-9095,Trempealeau,4,15785,2632,40,26320040,5506810,740,44.368663,-91.421309,Report received,74
Next Door Charter,Milwaukee,Elementary School,K3,0,Public school,Regular,Charter,2545 N 29th St  Milwaukee WI  53210-3116,Milwaukee,1,45825,3619,1141,36191141,5509600,1341,43.064905,-87.950474,Report received,74
King IB Middle School ,Milwaukee,Middle School,6,8,Public school,Regular,No,121 E Hadley St  Milwaukee WI  53212,Milwaukee,1,811,3619,210,36190210,5509600,2961,43.068432,-87.91023,Report received,75
Northland Pines Montessori,Northland Pines,Elementary School,K4,4,Public school,Regular,Charter,8234 Highway 70 W  Saint Germain WI  54558,Vilas,9,956,1526,110,15260110,5503860,3008,45.912984,-89.498118,Report received,75
Roosevelt Middle School ,Milwaukee,Middle School,6,8,Public school,Regular,No,800 W Walnut St  Milwaukee WI  53205-1717,Milwaukee,1,4542,3619,59,36190059,5509600,1238,43.053795,-87.92147,Report received,75
Stockbridge High School,Stockbridge,High School,9,12,Public school,Regular,No,110 School St  Stockbridge WI  53088,Calumet,7,2278,5614,40,56140040,5514520,1883,44.073659,-88.297946,Report received,75
Stuart Elementary ,Milwaukee,Elementary School,K3,5,Public school,Regular,No,7001 N 86th St  Milwaukee WI  53224-4841,Milwaukee,1,5459,3619,344,36190344,5509600,1250,43.144882,-88.018903,Report received,75
