State/Province,Confirmed Cases in each state/province
New York (U.S.),321192
New Jersey (U.S.),130593
Massachusetts (U.S.),70271
Hubei (China),68128
Illinois (U.S.),65889
California (U.S.),58456
Pennsylvania (U.S.),53864
Michigan (U.S.),44451
Florida (U.S.),37439
Texas (U.S.),33912
Connecticut (U.S.),30621
Georgia (U.S.),29998
Louisiana (U.S.),29996
Maryland (U.S.),27117
Indiana (U.S.),21033
Ohio (U.S.),20969
Virginia (U.S.),20257
Colorado (U.S.),17367
Washington (U.S.),15594
Tennessee (U.S.),13690
North Carolina (U.S.),12510
Iowa (U.S.),10111
Rhode Island (U.S.),9933
Arizona (U.S.),9305
Missouri (U.S.),9121
Wisconsin (U.S.),8566
Alabama (U.S.),8437
Mississippi (U.S.),8207
Minnesota (U.S.),7851
South Carolina (U.S.),6841
Nebraska (U.S.),6373
Kentucky (U.S.),5822
Nevada (U.S.),5660
Kansas (U.S.),5648
Utah (U.S.),5449
Delaware (U.S.),5371
District of Columbia (U.S.),5322
New Mexico (U.S.),4138
Oklahoma (U.S.),4127
Arkansas (U.S.),3525
Oregon (U.S.),2839
South Dakota (U.S.),2721
New Hampshire (U.S.),2636
Idaho (U.S.),2127
Puerto Rico (U.S.),1924
Guangdong (China),1588
Henan (China),1276
Zhejiang (China),1268
North Dakota (U.S.),1266
West Virginia (U.S.),1246
Maine (U.S.),1226
Hong Kong (China),1040
Hunan (China),1019
Anhui (China),991
Heilongjiang (China),944
Jiangxi (China),937
Vermont (U.S.),907
Shandong (China),788
Shanghai (China),656
Jiangsu (China),653
Hawaii (U.S.),625
Wyoming (U.S.),604
Beijing (China),593
Chongqing (China),579
Sichuan (China),561
Montana (U.S.),456
Taiwan (China),438
Alaska (U.S.),371
Fujian (China),356
Hebei (China),328
Shaanxi (China),308
Guangxi (China),254
Inner Mongolia (China),201
Shanxi (China),198
Tianjin (China),190
Yunnan (China),185
Hainan (China),168
Guizhou (China),147
Liaoning (China),146
Guam (U.S.),145
Gansu (China),139
Jilin (China),112
Xinjiang (China),76
Ningxia (China),75
Virgin Islands (U.S.),66
Macau (China),45
Qinghai (China),18
Northern Mariana Islands (U.S.),14
Tibet (China),1
American Samoa (U.S.),0
