dbscan,month,geography,group,subgroup
1,Mar,Manitoba,yellow,CANADA
1,Mar,Manitoba,yellow,CANADA
1,Sep,Manitoba,blue,CANADA
1,Sep,Manitoba,green,CANADA
1,Sep,Manitoba,green,CANADA
1,Sep,Manitoba,yellow,CANADA
1,Sep,Manitoba,green,CANADA
1,May,Manitoba,green,CANADA
1,May,Manitoba,white,CANADA
1,May,Manitoba,white,CANADA
1,May,Manitoba,green,CANADA
1,Mar,Manitoba,green,CANADA
1,Mar,Manitoba,red,CANADA
1,Mar,Manitoba,green,CANADA
1,Mar,Manitoba,purple,CANADA
1,Mar,Manitoba,green,CANADA
1,Sep,Manitoba,yellow,CANADA
1,Sep,Manitoba,green,CANADA
1,Sep,Manitoba,yellow,CANADA
1,Sep,Manitoba,green,CANADA
1,Sep,Manitoba,green,CANADA
1,Sep,Manitoba,green,CANADA
1,Aug,Manitoba,green,CANADA
1,Jun,Manitoba,green,CANADA
1,May,Manitoba,green,CANADA
1,May,Manitoba,green,CANADA
1,May,Manitoba,purple,CANADA
1,May,Manitoba,green,CANADA
1,Apr,Manitoba,yellow,CANADA
1,Feb,Manitoba,green,CANADA
1,Oct,Manitoba,green,CANADA
1,Oct,Manitoba,green,CANADA
1,Aug,Manitoba,green,CANADA
1,Jun,Manitoba,green,CANADA
1,Jun,Manitoba,green,CANADA
1,Jun,Manitoba,green,CANADA
1,Apr,Manitoba,yellow,CANADA
1,Sep,Manitoba,green,CANADA
1,Jul,Manitoba,green,CANADA
1,Jul,Manitoba,green,CANADA
1,May,Manitoba,green,CANADA
1,May,Manitoba,green,CANADA
8,Sep,Northwest,purple,CANADA
8,Sep,Northwest,green,CANADA
8,Sep,Northwest,green,CANADA
8,Mar,Northwest,green,CANADA
8,Mar,Northwest,green,CANADA
8,Mar,Northwest,green,CANADA
8,Mar,Northwest,green,CANADA
8,Sep,Northwest,purple,CANADA
8,Sep,Northwest,green,CANADA
8,Sep,Northwest,green,CANADA
8,Sep,Northwest,green,CANADA
8,Sep,Northwest,yellow,CANADA
8,Mar,Northwest,green,CANADA
8,Mar,Northwest,green,CANADA
8,May,Northwest,green,CANADA
8,Apr,Northwest,green,CANADA
8,Apr,Northwest,green,CANADA
8,Apr,Northwest,green,CANADA
8,Apr,Northwest,green,CANADA
8,Apr,Northwest,green,CANADA
8,Apr,Northwest,green,CANADA
8,Apr,Northwest,green,CANADA
8,Apr,Northwest,green,CANADA
8,Apr,Northwest,green,CANADA
8,Apr,Northwest,green,CANADA
8,Apr,Northwest,green,CANADA
8,Apr,Northwest,green,CANADA
8,Apr,Northwest,green,CANADA
8,Apr,Northwest,green,CANADA
8,Apr,Northwest,green,CANADA
8,Apr,Northwest,purple,CANADA
8,Apr,Northwest,yellow,CANADA
8,Apr,Northwest,yellow,CANADA
8,Apr,Northwest,green,CANADA
8,Apr,Northwest,green,CANADA
8,Apr,Northwest,green,CANADA
8,Apr,Northwest,green,CANADA
8,Apr,Northwest,green,CANADA
8,Apr,Northwest,yellow,CANADA
8,Apr,Northwest,yellow,CANADA
8,Apr,Northwest,green,CANADA
8,Apr,Northwest,green,CANADA
8,Apr,Northwest,green,CANADA
8,Apr,Northwest,green,CANADA
8,Apr,Northwest,yellow,CANADA
8,Apr,Northwest,green,CANADA
8,Apr,Northwest,green,CANADA
8,Apr,Northwest,green,CANADA
8,Apr,Northwest,green,CANADA
8,Apr,Northwest,green,CANADA
8,Apr,Northwest,green,CANADA
8,Apr,Northwest,green,CANADA
8,Apr,Northwest,yellow,CANADA
8,Apr,Northwest,green,CANADA
8,Apr,Northwest,green,CANADA
8,Apr,Northwest,green,CANADA
8,Apr,Northwest,green,CANADA
8,Apr,Northwest,green,CANADA
8,Apr,Northwest,green,CANADA
8,Apr,Northwest,green,CANADA
8,Apr,Northwest,yellow,CANADA
8,Apr,Northwest,yellow,CANADA
8,Apr,Northwest,green,CANADA
8,Apr,Northwest,green,CANADA
8,Mar,Northwest,green,CANADA
8,Mar,Northwest,green,CANADA
8,Mar,Northwest,green,CANADA
8,Mar,Northwest,green,CANADA
8,Mar,Northwest,green,CANADA
8,Mar,Northwest,green,CANADA
8,Mar,Northwest,green,CANADA
8,Mar,Northwest,purple,CANADA
8,Mar,Northwest,green,CANADA
8,Mar,Northwest,green,CANADA
8,Mar,Northwest,yellow,CANADA
8,Mar,Northwest,yellow,CANADA
8,Mar,Northwest,green,CANADA
8,Jan,Northwest,green,CANADA
8,Nov,Northwest,green,CANADA
8,Nov,Northwest,blue,CANADA
8,Nov,Northwest,green,CANADA
8,Nov,Northwest,green,CANADA
8,Oct,Northwest,green,CANADA
8,Oct,Northwest,white,CANADA
8,Oct,Northwest,white,CANADA
8,Oct,Northwest,white,CANADA
8,Oct,Northwest,white,CANADA
8,Oct,Northwest,white,CANADA
8,Oct,Northwest,white,CANADA
8,Oct,Northwest,white,CANADA
8,Oct,Northwest,green,CANADA
8,Oct,Northwest,white,CANADA
8,Oct,Northwest,white,CANADA
8,Oct,Northwest,white,CANADA
8,Oct,Northwest,white,CANADA
8,Oct,Northwest,white,CANADA
8,Oct,Northwest,white,CANADA
8,Oct,Northwest,white,CANADA
8,Oct,Northwest,white,CANADA
8,Oct,Northwest,white,CANADA
8,Oct,Northwest,white,CANADA
8,Oct,Northwest,white,CANADA
