dbscan,month,geography,group,subgroup
0,Mar,Alaska,blue,USA
0,Mar,Alaska,blue,USA
0,Mar,Alaska,purple,USA
0,Mar,Alaska,purple,USA
0,Dec,Alaska,green,USA
0,Dec,Alaska,green,USA
0,Dec,Alaska,green,USA
0,Dec,Alaska,green,USA
0,Dec,Alaska,green,USA
0,Dec,Alaska,green,USA
0,Dec,Alaska,purple,USA
0,Dec,Alaska,green,USA
0,Oct,Alaska,green,USA
0,Sep,Alaska,white,USA
0,Sep,Alaska,white,USA
0,Sep,Alaska,green,USA
0,Sep,Alaska,green,USA
0,Feb,Alaska,green,USA
0,Feb,Alaska,green,USA
0,Feb,Alaska,white,USA
0,Feb,Alaska,green,USA
0,Feb,Alaska,green,USA
0,Feb,Alaska,green,USA
0,Feb,Alaska,green,USA
0,Feb,Alaska,blue,USA
0,Feb,Alaska,green,USA
0,Feb,Alaska,green,USA
0,Feb,Alaska,green,USA
0,Jan,Alaska,blue,USA
0,Jan,Alaska,red,USA
0,Jan,Alaska,green,USA
0,Jan,Alaska,blue,USA
0,Jan,Alaska,red,USA
0,Jan,Alaska,green,USA
0,Jan,Alaska,green,USA
0,Jan,Alaska,blue,USA
0,Jan,Alaska,green,USA
0,Nov,Alaska,yellow,USA
0,Mar,Alaska,yellow,USA
0,Mar,Alaska,green,USA
0,Mar,Alaska,green,USA
0,Mar,Alaska,green,USA
0,Mar,Alaska,green,USA
0,Mar,Alaska,green,USA
0,Mar,Alaska,green,USA
0,Mar,Alaska,green,USA
0,Oct,Alaska,purple,USA
0,Oct,Alaska,green,USA
0,Oct,Alaska,green,USA
0,Oct,Alaska,green,USA
0,Oct,Alaska,green,USA
0,Oct,Alaska,green,USA
0,Oct,Alaska,green,USA
0,Oct,Alaska,green,USA
0,Oct,Alaska,green,USA
0,Oct,Alaska,green,USA
0,Oct,Alaska,green,USA
0,Oct,Alaska,green,USA
0,Mar,Alaska,green,USA
2,Mar,Wyoming,green,USA
2,Aug,Wyoming,yellow,USA
2,Aug,Wyoming,green,USA
2,Aug,Wyoming,green,USA
2,Aug,Wyoming,green,USA
2,Mar,Wyoming,purple,USA
2,Mar,Wyoming,purple,USA
2,Mar,Wyoming,purple,USA
2,Jan,Wyoming,blue,USA
2,Jan,Wyoming,purple,USA
2,May,Wyoming,purple,USA
2,May,Wyoming,purple,USA
2,May,Wyoming,purple,USA
2,May,Wyoming,purple,USA
2,May,Wyoming,purple,USA
3,Mar,Alaska,purple,USA
3,Mar,Alaska,purple,USA
3,Jan,Alaska,green,USA
3,Sep,Alaska,purple,USA
3,Mar,Alaska,green,USA
4,Feb,Alaska,yellow,USA
4,Jan,Alaska,green,USA
4,Oct,Alaska,green,USA
4,Oct,Alaska,yellow,USA
4,Oct,Alaska,yellow,USA
4,Oct,Alaska,yellow,USA
4,Oct,Alaska,green,USA
4,Oct,Alaska,green,USA
4,Oct,Alaska,yellow,USA
4,Oct,Alaska,blue,USA
4,Aug,Alaska,red,USA
4,Feb,Alaska,green,USA
4,Aug,Alaska,green,USA
4,Apr,Alaska,green,USA
4,Mar,Alaska,yellow,USA
4,Mar,Alaska,yellow,USA
4,Mar,Alaska,green,USA
4,Mar,Alaska,yellow,USA
4,Mar,Alaska,yellow,USA
