county,precinct,office,district,party,candidate,votes,vtd
Ford,Bloom Township,State House,117,Republican,"Mastroni, Leonard A.",31,10
Ford,Bucklin City,State House,117,Republican,"Mastroni, Leonard A.",281,20
Ford,Bucklin Township,State House,117,Republican,"Mastroni, Leonard A.",56,30
Ford,Concord Township,State House,115,Republican,"Orr, Boyd",46,40
Ford,Dodge City Precinct 01,State House,115,Republican,"Orr, Boyd",429,00005A
Ford,Dodge City Airport,State House,119,Democratic,"Love, Daniel L.",0,00005B
Ford,Dodge City Airport,State House,119,Republican,"Ralph, Bradley",0,00005B
Ford,Dodge City Industrial Park,State House,115,Republican,"Orr, Boyd",0,00005C
Ford,Dodge City Precinct 03,State House,119,Democratic,"Love, Daniel L.",255,70
Ford,Dodge City Precinct 03,State House,119,Republican,"Ralph, Bradley",156,70
Ford,Dodge City Precinct 04,State House,119,Democratic,"Love, Daniel L.",444,00008A
Ford,Dodge City Precinct 04,State House,119,Republican,"Ralph, Bradley",364,00008A
Ford,Dodge City Excel #1,State House,119,Democratic,"Love, Daniel L.",0,00008B
Ford,Dodge City Excel #1,State House,119,Republican,"Ralph, Bradley",0,00008B
Ford,Dodge City Excel #2,State House,119,Democratic,"Love, Daniel L.",0,00008C
Ford,Dodge City Excel #2,State House,119,Republican,"Ralph, Bradley",0,00008C
Ford,Dodge City Millard,State House,119,Democratic,"Love, Daniel L.",0,00008D
Ford,Dodge City Millard,State House,119,Republican,"Ralph, Bradley",0,00008D
Ford,Dodge City Precinct 06,State House,119,Democratic,"Love, Daniel L.",703,100
Ford,Dodge City Precinct 06,State House,119,Republican,"Ralph, Bradley",940,100
Ford,Dodge Township Ward 3,State House,119,Democratic,"Love, Daniel L.",14,200
Ford,Dodge Township Ward 3,State House,119,Republican,"Ralph, Bradley",14,200
Ford,Fairview Township,State House,115,Republican,"Orr, Boyd",97,220
Ford,Ford City,State House,117,Republican,"Mastroni, Leonard A.",72,230
Ford,Ford Township,State House,117,Republican,"Mastroni, Leonard A.",54,240
Ford,Richland Township,State House,115,Republican,"Orr, Boyd",192,260
Ford,Royal Township,State House,115,Republican,"Orr, Boyd",105,270
Ford,Sodville Township,State House,117,Republican,"Mastroni, Leonard A.",38,280
Ford,Spearville City,State House,117,Republican,"Mastroni, Leonard A.",332,300
Ford,Spearville Township,State House,117,Republican,"Mastroni, Leonard A.",162,310
Ford,Wheatland Township,State House,117,Republican,"Mastroni, Leonard A.",60,320
Ford,Wilburn Township,State House,115,Republican,"Orr, Boyd",39,330
Ford,Dodge Township H115,State House,115,Republican,"Orr, Boyd",190,120020
Ford,Dodge Township H119 A,State House,119,Democratic,"Love, Daniel L.",0,12003A
Ford,Dodge Township H119 A,State House,119,Republican,"Ralph, Bradley",0,12003A
Ford,Dodge Township H119,State House,119,Democratic,"Love, Daniel L.",6,120030
Ford,Dodge Township H119,State House,119,Republican,"Ralph, Bradley",22,120030
Ford,Enterprise Township H115,State House,115,Republican,"Orr, Boyd",164,120040
Ford,Enterprise Township H119,State House,119,Democratic,"Love, Daniel L.",6,120050
Ford,Enterprise Township H119,State House,119,Republican,"Ralph, Bradley",1,120050
Ford,Grandview Township H115,State House,115,Republican,"Orr, Boyd",157,120060
Ford,Grandview Township East H119,State House,119,Democratic,"Love, Daniel L.",3,12007A
Ford,Grandview Township East H119,State House,119,Republican,"Ralph, Bradley",0,12007A
Ford,Grandview Township H119,State House,119,Democratic,"Love, Daniel L.",0,120070
Ford,Grandview Township H119,State House,119,Republican,"Ralph, Bradley",0,120070
Ford,Grandview Township Ward 2 H115,State House,115,Republican,"Orr, Boyd",28,120080
Ford,Grandview Township Ward 2 H119,State House,119,Democratic,"Love, Daniel L.",1,120090
Ford,Grandview Township Ward 2 H119,State House,119,Republican,"Ralph, Bradley",2,120090
Ford,Dodge City Precinct 03 H115,State House,115,Republican,"Orr, Boyd",0,120100
Ford,Dodge City Township C H115,State House,115,Republican,"Orr, Boyd",0,120110
Ford,Dodge City Township W H119,State House,119,Democratic,"Love, Daniel L.",1,120120
Ford,Dodge City Township W H119,State House,119,Republican,"Ralph, Bradley",0,120120
Ford,Dodge City Precinct 09,State House,115,Republican,"Orr, Boyd",18,120130
Ford,Dodge City Precinct 10,State House,115,Republican,"Orr, Boyd",0,120140
Ford,Dodge City Precinct 02,State House,119,Democratic,"Love, Daniel L.",213,130010
Ford,Dodge City Precinct 02,State House,119,Republican,"Ralph, Bradley",122,130010
Ford,Dodge City Precinct 05,State House,119,Democratic,"Love, Daniel L.",558,130020
Ford,Dodge City Precinct 05,State House,119,Republican,"Ralph, Bradley",708,130020
Ford,Dodge City Precinct 07,State House,119,Democratic,"Love, Daniel L.",38,600010
Ford,Dodge City Precinct 07,State House,119,Republican,"Ralph, Bradley",46,600010
Ford,Dodge City Precinct 08,State House,119,Democratic,"Love, Daniel L.",0,800010
Ford,Dodge City Precinct 08,State House,119,Republican,"Ralph, Bradley",0,800010
Ford,Bloom Township,State Senate,38,Democratic,"Rodriguez, Miguel Angel",1,10
Ford,Bloom Township,State Senate,38,Republican,"Estes, Bud",34,10
Ford,Bucklin City,State Senate,38,Democratic,"Rodriguez, Miguel Angel",43,20
Ford,Bucklin City,State Senate,38,Republican,"Estes, Bud",266,20
Ford,Bucklin Township,State Senate,38,Democratic,"Rodriguez, Miguel Angel",6,30
Ford,Bucklin Township,State Senate,38,Republican,"Estes, Bud",52,30
Ford,Concord Township,State Senate,38,Democratic,"Rodriguez, Miguel Angel",7,40
Ford,Concord Township,State Senate,38,Republican,"Estes, Bud",42,40
Ford,Dodge City Precinct 01,State Senate,38,Democratic,"Rodriguez, Miguel Angel",234,00005A
Ford,Dodge City Precinct 01,State Senate,38,Republican,"Estes, Bud",285,00005A
Ford,Dodge City Airport,State Senate,38,Democratic,"Rodriguez, Miguel Angel",0,00005B
Ford,Dodge City Airport,State Senate,38,Republican,"Estes, Bud",0,00005B
Ford,Dodge City Industrial Park,State Senate,38,Democratic,"Rodriguez, Miguel Angel",0,00005C
