Site Name,Latitude,Longitutde
,,a
Aves,42.695651,-90.878687
Bagley,42.905,-91.101
Bagley Bluffs,42.892,-91.07
Ballfield,42.992,-91.119
Banfill,42.992,-91.047
Bird Mound (Schlundt),43.049,-90.941
Bird Mound (Hughes),42.792,-90.846
Burr Oak Farm,42.709,-90.738
C-07,42.708,-90.902
C-08,42.7,-90.936
Cammack,42.675,-90.771
Conical,42.778,-90.835
Eagle Valley #2,42.794,-91.066
Eagle Valley #3,42.786,-91.066
Eckstein-Ploessi,42.722,-90.844
Elephant,42.89,-91.086
English Prairie,43.179,-90.489
Fenley,42.576,-90.651
Gifford,42.956,-91.122
Jack Oak Slough,42.703,-90.963
Little Grant River,42.851,-90.823
Lost Bear,42.952,-91.128
McCartney,42.686,-90.859
McCartney (Ridge),42.684,-90.85
McLean,42.851,-90.813
Meng,42.956,-91.119
Muscoda,43.196,-90.438
Nick Adams,42.762,-90.83
Palmer Wanders,42.582,-90.659
Panther Ridge #1/#2,42.781,-91.069
Potosi,42.694,-90.719
Procession of Mounds,42.98,-91.11
Raisbeck,42.758,-90.87
Riverside Park,42.711,-90.988
Robert Glenn,42.965,-91.135
Sander's Creek,43.137,-90.722
Schnee,42.981,-91.068
Sentinel Ridge,42.983,-91.124
Singular,43.029,-90.928
Ski Jump,42.839,-90.817
South Point,42.995,-91.14
Spook Hill,42.972,-91.116
Tertiary,42.75,-91.045
Uddelhoven #1,42.686,-90.844
Uppena #1,42.702,-90.909
Uppena #2,42.703,-90.926
Ursus,42.71,-90.886
WA 12,42.69,-90.888
Wyalusing A,42.949,-91.136
Wyalusing,42.943,-91.136
Yearous,42.685,-90.774
Cushman,42.817,-90.329
Fitzimmons,42.905,-90.039
Peniel Church,42.829,-90.334
Sawle,43.153,-89.865
Sider-Culver,43.161,-90.192
Siamese Birds,43.203,-90.356
Whatsit,43.197,-90.403
Wolf Trap,43.206,-90.329
Anderson,42.58,-89.866
Kerber,42.66,-90.067
Adams Street Bear,43.069,-89.407
Arboretum Woods,43.047,-89.429
B-25,43.134,-89.394
Ballweg,43.276,-89.681
Barber,42.958,-89.284
Baskerville Park,43.107,-89.479
Bird,43.001,-89.306
Black Earth,43.135,-89.749
Blackhawk Country Club,43.08,-89.453
Blue Mounds #1,43.025,-89.681
Blue Mounds #2,43.013,-89.824
Blue Mounds Trail,43.082,-89.532
Bridge Road,43.049,-89.34
Bryant,43.024,-89.357
Burrow's Park Bird,43.102,-89.368
C. M. Colladay #1,42.964,-89.278
Camp Leonard,43.005,-89.307
Capitol Park,43.075,-89.383
Colladay Point,42.962,-89.275
Crystal Lake,43.285,-89.611
Dale (or Evan-Nelson),43.018,-89.291
Deansville,43.177,-89.095
Dividing Ridge,43.053,-89.399
E-Way,43.029,-89.367
East Bank,43.275,-89.712
Edgewood,43.049,-89.413
Edward's Park,43.029,-89.306
Eighmy,43.033,-89.303
Elmside Park,43.09,-89.342
Eva,43.062,-89.419
Evans,42.984,-89.32
Fairhaven,43.049,-89.325
Farwell's Point,43.132,-89.408
Fitzgibbon,43.156,-89.458
Forest Hill Cemetery,43.06,-89.432
Fox's Bluff,43.111,-89.453
Frost Woods,43.055,-89.335
Fuller Woods,43.091,-89.374
Gallistel Woods,43.045,-89.424
Ghost Ridge,43.098,-89.301
Gilman,43.03,-89.351
Glenway,43.056,-89.431
Greenbush,43.059,-89.405
H. P. Hall Bird,43.128,-89.316
Halverson/Pflaum-McWilliams,43.052,-89.317
Hanson,43.032,-89.226
Heim,43.098,-89.498
Hornung,43.258,-89.694
