Site Name,County,Latitude,Longitutde,Sum,status,protection,,,,,,,,,,,,
Aves,Grant,42.695651,-90.878687,40,destroyed,unprotected,,,,,,,,,,,,
Bagley,Grant,42.905,-91.101,21,destroyed,unprotected,,,,,,,,,,,,
Bagley Bluffs,Grant,42.892,-91.07,3,destroyed,unprotected,,,,,,,,,,,,
Ballfield,Grant,42.992,-91.119,2,partially destroyed,unprotected,,,,,,,,,,,,
Banfill,Grant,42.992,-91.047,6,destroyed,unprotected,,,,,,,,,,,,
Bird Mound (Schlundt),Grant,43.049,-90.941,1,destroyed,unprotected,,,,,,,,,,,,
Bird Mound (Hughes),Grant,42.792,-90.846,1,destroyed,unprotected,,,,,,,,,,,,
Burr Oak Farm,Grant,42.709,-90.738,5,destroyed,unprotected,,,,,,,,,,,,
C-07,Grant,42.708,-90.902,9,unknown,unprotected,,,,,,,,,,,,
C-08,Grant,42.7,-90.936,2,unknown,unprotected,,,,,,,,,,,,
Cammack,Grant,42.675,-90.771,1,intact,unprotected,,,,,,,,,,,,
Conical,Grant,42.778,-90.835,8,unknown,unprotected,,,,,,,,,,,,
Eagle Valley #2,Grant,42.794,-91.066,1,intact ,protected,,,,,,,,,,,,
Eagle Valley #3,Grant,42.786,-91.066,55,intact,unprotected,,,,,,,,,,,,
Eckstein-Ploessi,Grant,42.722,-90.844,15,unknown,unprotected,,,,,,,,,,,,
Elephant,Grant,42.89,-91.086,6,unknown,unprotected,,,,,,,,,,,,
English Prairie,Grant,43.179,-90.489,102,unknown,unprotected,,,,,,,,,,,,
Fenley,Grant,42.576,-90.651,3,intact,unprotected,,,,,,,,,,,,
Gifford,Grant,42.956,-91.122,1,unknown,unprotected,,,,,,,,,,,,
Jack Oak Slough,Grant,42.703,-90.963,53,destroyed,unprotected,,,,,,,,,,,,
Little Grant River,Grant,42.851,-90.823,2,unkown,unprotected,,,,,,,,,,,,
Lost Bear,Grant,42.952,-91.128,1,unknown,unprotected,,,,,,,,,,,,
McCartney,Grant,42.686,-90.859,3,unknown,unprotected,,,,,,,,,,,,
McCartney (Ridge),Grant,42.684,-90.85,2,unknown,unprotected,,,,,,,,,,,,
McLean,Grant,42.851,-90.813,2,intact,unprotected,,,,,,,,,,,,
Meng,Grant,42.956,-91.119,1,unknown,unprotected,,,,,,,,,,,,
Muscoda,Grant,43.196,-90.438,39,intact,unprotected,,,,,,,,,,,,
Nick Adams,Grant,42.762,-90.83,47,unknown,unprotected,,,,,,,,,,,,
Palmer Wanders,Grant,42.582,-90.659,1,unknown,unprotected,,,,,,,,,,,,
Panther Ridge #1/#2,Grant,42.781,-91.069,12,unknown,unprotected,,,,,,,,,,,,
Potosi,Grant,42.694,-90.719,3,destroyed,unprotected,,,,,,,,,,,,
Procession of Mounds,Grant,42.98,-91.11,26,intact ,protected,,,,,,,,,,,,
Raisbeck,Grant,42.758,-90.87,82,unknown,unprotected,,,,,,,,,,,,
Riverside Park,Grant,42.711,-90.988,2,partially destroyed,unprotected,,,,,,,,,,,,
Robert Glenn,Grant,42.965,-91.135,14,intact ,protected,,,,,,,,,,,,
Sander's Creek,Grant,43.137,-90.722,9,unknown,unprotected,,,,,,,,,,,,
Schnee,Grant,42.981,-91.068,1,unknown,unprotected,,,,,,,,,,,,
Sentinel Ridge,Grant,42.983,-91.124,28,intact,unprotected,,,,,,,,,,,,
Singular,Grant,43.029,-90.928,1,destroyed,unprotected,,,,,,,,,,,,
Ski Jump,Grant,42.839,-90.817,5,intact,unprotected,,,,,,,,,,,,
South Point,Grant,42.995,-91.14,4,destroyed,unprotected,,,,,,,,,,,,
Spook Hill,Grant,42.972,-91.116,5,unknown,unprotected,,,,,,,,,,,,
Tertiary,Grant,42.75,-91.045,4,unknown,unprotected,,,,,,,,,,,,
Uddelhoven #1,Grant,42.686,-90.844,3,partially destroyed,unprotected,,,,,,,,,,,,
Uppena #1,Grant,42.702,-90.909,27,unknown,unprotected,,,,,,,,,,,,
Uppena #2,Grant,42.703,-90.926,1,partially destroyed,unprotected,,,,,,,,,,,,
Ursus,Grant,42.71,-90.886,59,destroyed,unprotected,,,,,,,,,,,,
