SiteName,County,Latitude,Longitutde,Sum,status,protection,Present Name
Aves,Grant,42.695651,-90.878687,40,destroyed,unprotected,Aves
Bagley,Grant,42.905,-91.101,21,destroyed,unprotected,Bagley
BagleyBluffs,Grant,42.892,-91.07,3,destroyed,unprotected,Bagley Bluffs
Ballfield,Grant,42.992,-91.119,2,partially destroyed,unprotected,Ballfield
Banfill,Grant,42.992,-91.047,6,destroyed,unprotected,Banfill
BirdMound-Schlundt,Grant,43.049,-90.941,1,destroyed,unprotected,Bird Mound (Schlundt)
BirdMound-Hughes,Grant,42.792,-90.846,1,destroyed,unprotected,Bird Mound (Hughes)
BurrOakFarm,Grant,42.709,-90.738,5,destroyed,unprotected,Burr Oak Farm
C-07,Grant,42.708,-90.902,9,unknown,unprotected,C-07
C-08,Grant,42.7,-90.936,2,unknown,unprotected,C-08
Cammack,Grant,42.675,-90.771,1,intact,unprotected,Cammack
Conical,Grant,42.778,-90.835,8,unknown,unprotected,Conical
EagleValley-2,Grant,42.794,-91.066,1,intact ,protected,Eagle Valley #2
EagleValley-3,Grant,42.786,-91.066,55,intact,unprotected,Eagle Valley #3
Eckstein-Ploessi,Grant,42.722,-90.844,15,unknown,unprotected,Eckstein-Ploessi
Elephant,Grant,42.89,-91.086,6,unknown,unprotected,Elephant
EnglishPrairie,Grant,43.179,-90.489,102,unknown,unprotected,English Prairie
Fenley,Grant,42.576,-90.651,3,intact,unprotected,Fenley
Gifford,Grant,42.956,-91.122,1,unknown,unprotected,Gifford
JackOakSlough,Grant,42.703,-90.963,53,destroyed,unprotected,Jack Oak Slough
LittleGrantRiver,Grant,42.851,-90.823,2,unkown,unprotected,Little Grant River
LostBear,Grant,42.952,-91.128,1,unknown,unprotected,Lost Bear
McCartney,Grant,42.686,-90.859,3,unknown,unprotected,McCartney
McCartney-Ridge,Grant,42.684,-90.85,2,unknown,unprotected,McCartney (Ridge)
McLean,Grant,42.851,-90.813,2,intact,unprotected,McLean
Meng,Grant,42.956,-91.119,1,unknown,unprotected,Meng
Muscoda,Grant,43.196,-90.438,39,intact,unprotected,Muscoda
NickAdams,Grant,42.762,-90.83,47,unknown,unprotected,Nick Adams
PalmerWanders,Grant,42.582,-90.659,1,unknown,unprotected,Palmer Wanders
PantherRidge1/2,Grant,42.781,-91.069,12,unknown,unprotected,Panther Ridge #1/#2
Potosi,Grant,42.694,-90.719,3,destroyed,unprotected,Potosi
ProcessionofMounds,Grant,42.98,-91.11,26,intact ,protected,Procession of Mounds
Raisbeck,Grant,42.758,-90.87,82,unknown,unprotected,Raisbeck
RiversidePark,Grant,42.711,-90.988,2,partially destroyed,unprotected,Riverside Park
RobertGlenn,Grant,42.965,-91.135,14,intact ,protected,Robert Glenn
Sander'sCreek,Grant,43.137,-90.722,9,unknown,unprotected,Sander's Creek
Schnee,Grant,42.981,-91.068,1,unknown,unprotected,Schnee
SentinelRidge,Grant,42.983,-91.124,28,intact,unprotected,Sentinel Ridge
Singular,Grant,43.029,-90.928,1,destroyed,unprotected,Singular
SkiJump,Grant,42.839,-90.817,5,intact,unprotected,Ski Jump
SouthPoint,Grant,42.995,-91.14,4,destroyed,unprotected,South Point
SpookHill,Grant,42.972,-91.116,5,unknown,unprotected,Spook Hill
Tertiary,Grant,42.75,-91.045,4,unknown,unprotected,Tertiary
Uddelhoven1,Grant,42.686,-90.844,3,partially destroyed,unprotected,Uddelhoven #1
Uppena1,Grant,42.702,-90.909,27,unknown,unprotected,Uppena #1
Uppena2,Grant,42.703,-90.926,1,partially destroyed,unprotected,Uppena #2
Ursus,Grant,42.71,-90.886,59,destroyed,unprotected,Ursus
WA12,Grant,42.69,-90.888,6,destroyed,unprotected,WA 12
WyalusingA,Grant,42.949,-91.136,1,destroyed,unprotected,Wyalusing A
Wyalusing,Grant,42.943,-91.136,2,destroyed,unprotected,Wyalusing
Yearous,Grant,42.685,-90.774,7,unknown,unprotected,Yearous
Cushman,Iowa,42.817,-90.329,2,destroyed,unprotected,Cushman
Fitzimmons,Iowa,42.905,-90.039,4,intact,unprotected,Fitzimmons
PenielChurch,Iowa,42.829,-90.334,10,intact,unprotected,Peniel Church
Sawle,Iowa,43.153,-89.865,2,unknown,unprotected,Sawle
Sider-Culver,Iowa,43.161,-90.192,19,intact,unprotected,Sider-Culver
SiameseBirds,Iowa,43.203,-90.356,3,partially destroyed,unprotected,Siamese Birds
Whatsit,Iowa,43.197,-90.403,3,intact,unprotected,Whatsit
WolfTrap,Iowa,43.206,-90.329,13,unknown,unprotected,Wolf Trap
Anderson,Lafayette,42.58,-89.866,28,unknown,unprotected,Anderson
Kerber,Lafayette,42.66,-90.067,16,intact,unprotected,Kerber
AdamsStreetBear,Dane,43.069,-89.407,2,destroyed,unprotected,Adams Street Bear
ArboretumWoods,Dane,43.047,-89.429,12,partially destroyed,unprotected,Arboretum Woods
B-25,Dane,43.134,-89.394,2,intact,unprotected,B-25
Ballweg,Dane,43.276,-89.681,2,intact,unprotected,Ballweg
Barber,Dane,42.958,-89.284,85,unknown,unprotected,Barber
BaskervillePark,Dane,43.107,-89.479,26,partially destroyed,unprotected,Baskerville Park
Bird,Dane,43.001,-89.306,1,destroyed,unprotected,Bird
BlackEarth,Dane,43.135,-89.749,1,intact,unprotected,Black Earth
BlackhawkCountryClub,Dane,43.08,-89.453,12,partially destroyed,unprotected,Blackhawk Country Club
BlueMounds1,Dane,43.025,-89.681,16,destroyed,unprotected,Blue Mounds #1
BlueMounds2,Dane,43.013,-89.824,3,partially destroyed,unprotected,Blue Mounds #2
BlueMoundsTrail,Dane,43.082,-89.532,2,unknown,unprotected,Blue Mounds Trail
BridgeRoad,Dane,43.049,-89.34,36,unknown,unprotected,Bridge Road
Bryant,Dane,43.024,-89.357,7,destroyed,unprotected,Bryant
BurrowsParkBird,Dane,43.102,-89.368,2,intact ,protected,Burrow's Park Bird
C.M.Colladay1,Dane,42.964,-89.278,4,partially destroyed,unprotected,C. M. Colladay #1
CampLeonard,Dane,43.005,-89.307,6,unknown,unprotected,Camp Leonard
CapitolPark,Dane,43.075,-89.383,1,destroyed,unprotected,Capitol Park
ColladayPoint,Dane,42.962,-89.275,13,destroyed,unprotected,Colladay Point
CrystalLake,Dane,43.285,-89.611,5,partially destroyed,unprotected,Crystal Lake
Dale-orEvan-Nelson,Dane,43.018,-89.291,3,unknown,unprotected,Dale (or Evan-Nelson)
Deansville,Dane,43.177,-89.095,4,partially destroyed,unprotected,Deansville
DividingRidge,Dane,43.053,-89.399,34,destroyed,unprotected,Dividing Ridge
E-Way,Dane,43.029,-89.367,6,unknown,unprotected,E-Way
EastBank,Dane,43.275,-89.712,10,unknown,unprotected,East Bank
Edgewood,Dane,43.049,-89.413,24,intact ,unprotected,Edgewood
EdwardsPark,Dane,43.029,-89.306,11,partially destroyed,unprotected,Edward's Park
Eighmy,Dane,43.033,-89.303,4,partially destroyed,unprotected,Eighmy
ElmsidePark,Dane,43.09,-89.342,23,partially destroyed,unprotected,Elmside Park
Eva,Dane,43.062,-89.419,8,unknown,unprotected,Eva
Evans,Dane,42.984,-89.32,3,partially destroyed,unprotected,Evans
