State,Museum or Federal Agency,MNI,AFO,Geo Origin,County
New York,American Museum of Natural History,1,0,Virginia,Accomack
Missouri,Missouri Dept. of Transportation,3,0,Missouri,Adair
Oklahoma,"Univ. of Oklahoma, Sam Noble Oklahoma Museum of Natural History",3,24,Oklahoma,Adair
Idaho,"Idaho State Historical Society, Archaeological Survey of Idaho",60,0,Idaho,Adams
Illinois,Illinois State Museum,1,0,Illinois,Adams
Illinois,Illinois State Museum,2,2,Illinois,Adams
Illinois,Illinois State Museum,1,0,Illinois,Adams
Illinois,Illinois State Museum,24,0,Illinois,Adams
Illinois,Illinois State Museum,183,0,Illinois,Adams
Illinois,Illinois State Museum,1,0,Illinois,Adams
Illinois,Illinois State Museum,6,0,Illinois,Adams
Illinois,Illinois State Museum,4,0,Illinois,Adams
Illinois,Illinois State Museum,3,0,Illinois,Adams
Illinois,Illinois State Museum,12,0,Illinois,Adams
Illinois,Illinois State Museum,24,0,Illinois,Adams
Illinois,Illinois State Museum,2,0,Illinois,Adams
Illinois,Illinois State Museum,1,0,Illinois,Adams
Illinois,Illinois State Museum,2,0,Illinois,Adams
Illinois,"Center for American Archeology, Kampsville Archeological Center",5,0,Illinois,Adams
Illinois,"Center for American Archeology, Kampsville Archeological Center",8,0,Illinois,Adams
Illinois,"Center for American Archeology, Kampsville Archeological Center",1,0,Illinois,Adams
Illinois,"Center for American Archeology, Kampsville Archeological Center",1,0,Illinois,Adams
Illinois,"Center for American Archeology, Kampsville Archeological Center",1,0,Illinois,Adams
Illinois,Field Museum of Natural History,6,1,Illinois,Adams
Illinois,Field Museum of Natural History,15,0,Illinois,Adams
Illinois,Field Museum of Natural History,2,0,Illinois,Adams
Illinois,Field Museum of Natural History,1,0,Illinois,Adams
Illinois,Field Museum of Natural History,6,0,Illinois,Adams
Indiana,"Indiana University, Dept. of Anthropology",30,0,Illinois,Adams
Indiana,"Indiana University, Dept. of Anthropology",8,0,Illinois,Adams
Indiana,"Indiana University, Dept. of Anthropology",10,0,Illinois,Adams
Indiana,"Indiana University, Dept. of Anthropology",54,0,Illinois,Adams
Indiana,"Indiana University, Dept. of Anthropology",2,41,Illinois,Adams
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,1,Illinois,Adams
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",9,0,Illinois,Adams
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",18,1,Illinois,Adams
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",8,0,Illinois,Adams
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",2,0,Illinois,Adams
New York,New York State Museum,3,0,Illinois,Adams
Pennsylvania,Univ. of Pennsylvania Museum of Archaeology and Anthropology,1,0,Illinois,Adams
Mississippi,"Mississippi Dept. of Archives and History, Museum Division",1,4,Mississippi,Adams
Pennsylvania,Univ. of Pennsylvania Museum of Archaeology and Anthropology,2,0,Mississippi,Adams
Pennsylvania,Univ. of Pennsylvania Museum of Archaeology and Anthropology,1,0,Mississippi,Adams
Pennsylvania,Univ. of Pennsylvania Museum of Archaeology and Anthropology,1,0,Mississippi,Adams
Pennsylvania,Univ. of Pennsylvania Museum of Archaeology and Anthropology,1,0,Mississippi,Adams
Pennsylvania,Univ. of Pennsylvania Museum of Archaeology and Anthropology,1,0,Mississippi,Adams
Pennsylvania,Univ. of Pennsylvania Museum of Archaeology and Anthropology,1,0,Mississippi,Adams
Pennsylvania,Univ. of Pennsylvania Museum of Archaeology and Anthropology,1,0,Mississippi,Adams
Pennsylvania,Univ. of Pennsylvania Museum of Archaeology and Anthropology,1,0,Mississippi,Adams
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,Ohio,Adams
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",3,0,Ohio,Adams
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",10,1,Ohio,Adams
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",3,0,Ohio,Adams
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",3,0,Ohio,Adams
Ohio,Cleveland Museum of Natural History,1,0,Ohio,Adams
Ohio,Cleveland Museum of Natural History,39,1,Ohio,Adams
Ohio,Ohio History Connection (formerly the Ohio Historical Society),14,0,Ohio,Adams
Ohio,Ohio History Connection (formerly the Ohio Historical Society),3,0,Ohio,Adams
Ohio,Ohio History Connection (formerly the Ohio Historical Society),5,0,Ohio,Adams
Ohio,Dayton Museum of Natural History,1,0,Ohio,Adams
Wisconsin,Milwaukee Public Museum,1,0,Wisconsin,Adams
New York,Fort Ticonderoga,4,261,Vermont,Addison
New York,Fort Ticonderoga,3,236,Vermont,Addison
South Carolina,"U.S. Dept. of Energy, Savannah River Operations Office",1,0,South Carolina,Aiken
South Carolina,"U.S. Dept. of Energy, Savannah River Operations Office",1,1,South Carolina,Aiken
South Carolina,"U.S. Dept. of Energy, Savannah River Operations Office",1,0,South Carolina,Aiken
South Carolina,"U.S. Dept. of Energy, Savannah River Operations Office",1,0,South Carolina,Aiken
South Carolina,"U.S. Dept. of Energy, Savannah River Operations Office",1,1,South Carolina,Aiken
South Carolina,"U.S. Dept. of Energy, Savannah River Operations Office",1,0,South Carolina,Aiken
Florida,"Florida Dept. of State, Division of Historical Resources",2,0,Florida,Alachua
Florida,"Florida Dept. of State, Division of Historical Resources",1,5,Florida,Alachua
Florida,"Florida Dept. of State, Division of Historical Resources",1,0,Florida,Alachua
Florida,"Florida Dept. of State, Division of Historical Resources",1,26,Florida,Alachua
Florida,"Univ. of Florida, Gainesville, Florida Museum of Natural History",3,0,Florida,Alachua
Florida,"Univ. of Florida, Gainesville, Florida Museum of Natural History",17,0,Florida,Alachua
Florida,"Univ. of Florida, Gainesville, Florida Museum of Natural History",17,0,Florida,Alachua
Florida,"Univ. of Florida, Gainesville, Florida Museum of Natural History",1,0,Florida,Alachua
Florida,"Univ. of Florida, Gainesville, Florida Museum of Natural History",1,0,Florida,Alachua
Florida,"Univ. of Florida, Gainesville, Florida Museum of Natural History",40,0,Florida,Alachua
Florida,"Univ. of Florida, Gainesville, Florida Museum of Natural History",3,0,Florida,Alachua
Florida,"Univ. of Florida, Gainesville, Florida Museum of Natural History",23,0,Florida,Alachua
Florida,"Univ. of Florida, Gainesville, Florida Museum of Natural History",3,0,Florida,Alachua
Florida,"Univ. of Florida, Gainesville, Florida Museum of Natural History",1,0,Florida,Alachua
Florida,"Univ. of Florida, Gainesville, Florida Museum of Natural History",4,0,Florida,Alachua
Florida,"Univ. of Florida, Gainesville, Florida Museum of Natural History",36,0,Florida,Alachua
Florida,"Univ. of Florida, Gainesville, Florida Museum of Natural History",10,0,Florida,Alachua
Florida,"Univ. of Florida, Gainesville, Florida Museum of Natural History",1,0,Florida,Alachua
Wisconsin,Milwaukee Public Museum,5,0,Florida,Alachua
North Carolina,"Univ. of North Carolina at Chapel Hill, Research Laboratories of Archaeology",2,0,North Carolina,Alamance
North Carolina,"Univ. of North Carolina at Chapel Hill, Research Laboratories of Archaeology",2,0,North Carolina,Alamance
North Carolina,"Univ. of North Carolina at Chapel Hill, Research Laboratories of Archaeology",2,0,North Carolina,Alamance
North Carolina,"Univ. of North Carolina at Chapel Hill, Research Laboratories of Archaeology",4,0,North Carolina,Alamance
California,Oakland Museum of California,1,0,California,Alameda
California,Oakland Museum of California,1,0,California,Alameda
California,"San Jose State Univ., Dept. of Anthropology",343,0,California,Alameda
