State,Institution,Name,MNI,AFO,CA,CUI,Geographic Area,County
WI,"Beloit College, Logan Museum of Anthropology",BeloitLoganMuseumOfAnthropology,1,0,N/A,1,Wisconsin,Brown
WI,"Beloit College, Logan Museum of Anthropology",BeloitLoganMuseumOfAnthropology,1,0,N/A,1,Wisconsin,Jefferson
WI,"Beloit College, Logan Museum of Anthropology",BeloitLoganMuseumOfAnthropology,82,21,N/A,1,Wisconsin,Oneida
WI,"Beloit College, Logan Museum of Anthropology",BeloitLoganMuseumOfAnthropology,6,0,N/A,1,Wisconsin,Pierce
WI,"Beloit College, Logan Museum of Anthropology",BeloitLoganMuseumOfAnthropology,10,1,N/A,1,Wisconsin,Rock
WI,Kenosha Public Museum,KenoshoaPublic,4,0,N/A,1,Wisconsin,Kenosha
WI,"Lawrence Univ., Dept. of Anthropology",Lawrence,11,0,N/A,1,Wisconsin,Door
WI,"Lawrence Univ., Dept. of Anthropology",Lawrence,11,0,N/A,1,Wisconsin,Jefferson
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Wisconsin,Adams
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,2,N/A,1,Wisconsin,Ashland
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,35,26,N/A,1,Wisconsin,Barron
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,3,0,N/A,1,Wisconsin,Brown
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,472,62,N/A,1,Wisconsin,Burnett
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Wisconsin,Calumet
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Wisconsin,Columbia
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,30,17,N/A,1,Wisconsin,Crawford
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,72,37,N/A,1,Wisconsin,Dodge
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,4,0,N/A,1,Wisconsin,Door
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,14,4,N/A,1,Wisconsin,FondDuLac
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,1,N/A,1,Wisconsin,Forest
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,56,63,N/A,1,Wisconsin,Grant
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,19,5,N/A,1,Wisconsin,GreenLake
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,107,22,N/A,1,Wisconsin,Jefferson
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Wisconsin,Kewaunee
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,20,88,N/A,1,Wisconsin,LaCrosse
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,2,0,N/A,1,Wisconsin,Manitowoc
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,205,22,N/A,1,Wisconsin,Marquette
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,24,3,N/A,1,Wisconsin,Menominee
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,48,71,N/A,1,Wisconsin,Milwaukee
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,63,1,N/A,1,Wisconsin,Oconto
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Wisconsin,Oneida
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,20,16,N/A,1,Wisconsin,Ozaukee
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,1,N/A,1,Wisconsin,Rock
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,41,14,N/A,1,Wisconsin,Sheboygan
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,32,83,N/A,1,Wisconsin,Trempealeau
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,4,0,N/A,1,Wisconsin,Washington
