DatasetID,Taxon,Latitude,Longitude,yr20750,yr20250,yr19750,yr19250,yr18750,yr18250,yr17750,yr17250,yr16750,yr16250,yr15750,yr15250,yr14750,yr14250,yr13750,yr13250,yr12750,yr12250,yr11750,yr11250,yr10750,yr10250,yr9750,yr9250,yr8750,yr8250,yr7750,yr7250,yr6750,yr6250,yr5750,yr5250,yr4750,yr4250,yr3750,yr3250,yr2750,yr2250,yr1750,yr1250,yr750,yr250
7,picea,47,-80.116667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.010145568,1.44297338,1.45873141,1.752059531,2.380211542,1.769368376,1.867372141,4.000119818,1.985808812,3.596088777,4.450718686,5.192080212,8.626344417
7,quercus,47,-80.116667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366564837,0.748996435,0.786037251,0.885817446,0.846001094,1.389015098,2.804416795,2.461658279,0.806476367,2.702299708,2.31983964,2.069368557,1.351414662
7,fagus,47,-80.116667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060096154,0,0,0.198076019,0.068870523,0.303878255,0.443591307,0.629642943,0.155281466,0.560302804,0.324386428,0.637450947,0.418037211
7,tsuga,47,-80.116667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253171031,0,0.280944477,0.19835555,0.138325553,0,0.215982721,0.618260244,0.34063197,0.347536847,0.95678107,0.318725474,0.407463247
7,tsuga,47,-80.116667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253171031,0,0.280944477,0.19835555,0.138325553,0,0.215982721,0.618260244,0.34063197,0.347536847,0.95678107,0.318725474,0.407463247
7,tsuga,47,-80.116667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253171031,0,0.280944477,0.19835555,0.138325553,0,0.215982721,0.618260244,0.34063197,0.347536847,0.95678107,0.318725474,0.407463247
7,tsuga,47,-80.116667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253171031,0,0.280944477,0.19835555,0.138325553,0,0.215982721,0.618260244,0.34063197,0.347536847,0.95678107,0.318725474,0.407463247
7,tsuga,47,-80.116667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253171031,0,0.280944477,0.19835555,0.138325553,0,0.215982721,0.618260244,0.34063197,0.347536847,0.95678107,0.318725474,0.407463247
8,quercus,33.956389,-119.976667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.391637566,4.166666667,4.161713131,4.272664434,4.632192883,4.724797915,2.647371731,4.744525547,5.349941013,0,4.982800382
7,tsuga,47,-80.116667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253171031,0,0.280944477,0.19835555,0.138325553,0,0.215982721,0.618260244,0.34063197,0.347536847,0.95678107,0.318725474,0.407463247
7,tsuga,47,-80.116667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253171031,0,0.280944477,0.19835555,0.138325553,0,0.215982721,0.618260244,0.34063197,0.347536847,0.95678107,0.318725474,0.407463247
7,tsuga,47,-80.116667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253171031,0,0.280944477,0.19835555,0.138325553,0,0.215982721,0.618260244,0.34063197,0.347536847,0.95678107,0.318725474,0.407463247
25,picea,52.516667,-57.033333,0,0,0,7.185628743,0,0,0,0,0,0,0,0,0,6.722689076,0,0,1.658767773,0,1.965601966,0,2.369668246,0,0,11.80555556,5.947136564,0,27.80487805,0,11.65540541,49.17012448,0,0,64.16184971,0,0,73.79454927,0,0,0,0,0,72.04030227
25,quercus,52.516667,-57.033333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168918919,0.20746888,0,0,0.578034682,0,0,0,0,0,0,0,0,0
7,tsuga,47,-80.116667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253171031,0,0.280944477,0.19835555,0.138325553,0,0.215982721,0.618260244,0.34063197,0.347536847,0.95678107,0.318725474,0.407463247
7,tsuga,47,-80.116667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253171031,0,0.280944477,0.19835555,0.138325553,0,0.215982721,0.618260244,0.34063197,0.347536847,0.95678107,0.318725474,0.407463247
