SCHOOL,DISTRICT,SCH_TYPE,LOW_GRADE,HIGH_GRD,TYPE_DESC,SCH_CAT,CHARTER,FULL_ADDR,PHYS_COUNT,CESA,DPI_KEY,DIST_CODE,SCH_CODE,UNIQUE,NCES_DIST,NCES_SCH,Latitude,Longitude,Comment_Vax,PctMetMinRequirements_Vax
Independence Elementary ,Independence,Elementary School,K4,5,Public school,Regular,No,23786 Indee Blvd  Independence WI  54747-9095,Trempealeau,4,15784,2632,20,26320020,5506810,739,44.368663,-91.421309,Report received,60
La Pointe Elementary ,Bayfield,Elementary School,PK,6,Public school,Regular,No,868 Whitefish St  La Pointe WI  54850,Ashland,12,16759,315,60,3150060,5500900,2358,46.782679,-90.788608,Report received,60
Lincoln Middle School ,Kenosha,Middle School,6,8,Public school,Regular,No,6729 18th Ave  Kenosha WI  53143-4918,Kenosha,1,3079,2793,360,27930360,5507320,817,42.572544,-87.830582,Report received,61
Lincoln Middle School ,La Crosse,Middle School,6,8,Public school,Regular,No,510 9th St S  La Crosse WI  54601-4799,La Crosse,4,14125,2849,180,28490180,5507530,863,43.806178,-91.245062,Report received,61
Lincoln Middle School ,Milwaukee,Middle School,6,8,Public school,Regular,No,820 E Knapp St  Milwaukee WI  53202-2718,Milwaukee,1,4394,3619,6,36190006,5509600,2302,43.047521,-87.901513,Report received,61
Daniels Univ Prep,Milwaukee,Combined Elementary/Secondary School,K4,8,Public school,Regular,Charter,4834 N Mother Daniels Way  Milwaukee WI  53209-5981,Milwaukee,1,680,3619,820,36190820,5509600,2870,43.105124,-87.955655,Report received,63
Daniel Webster Secondary Sch,Milwaukee,Combined Elementary/Secondary School,6,8,Public school,Regular,No,6850 N 53rd St  Milwaukee WI  53223-5239,Milwaukee,1,1527,3619,850,36190850,5509600,3053,43.143135,-87.976419,Report received,64
Drummond High School,Drummond Area,High School,9,12,Public school,Regular,No,52440 Eastern Ave  Drummond WI  54832,Bayfield,12,16569,1491,40,14910040,5503810,396,46.335952,-91.255568,Report received,64
Fairview South,Elmbrook,Combined Elementary/Secondary School,5,12,Public school,Special Education,No,3525 Bermuda Blvd  Brookfield WI  53045-2098,Waukesha,1,1560,714,160,7140160,5501770,221,43.083609,-88.129251,Report received,64
Chippewa Valley Montessori,Eau Claire Area,Elementary School,K4,5,Public school,Regular,Charter,400 Cameron St  Eau Claire WI  54703-5101,Eau Claire,10,71956,1554,111,15540111,5504050,2544,44.816404,-91.513082,Report received,66
River Falls Public Montessori,River Falls,Elementary School,KG,6,Public school,Regular,Charter,421 W Maple St  River Falls WI  54022,Pierce,11,72060,4893,110,48930110,5513050,2562,44.860022,-92.630376,Report received,66
Wildlands Charter Sch,Augusta,High School,7,12,Public school,Regular,Charter,E19320 Bartig Rd  Augusta WI  54722-7501,Eau Claire,10,68,217,410,2170410,5500630,2586,44.726811,-91.212598,Report received,66
Coloma Elementary ,Westfield,Elementary School,K4,6,Public school,Regular,No,210 N Linden St  Coloma WI  54930-9616,Waushara,5,17606,6335,20,63350020,5516440,2147,44.035033,-89.516297,Report received,67
Appleton Public Montessori,Appleton Area,Elementary School,K4,6,Public school,Regular,Charter,1545 E Broadway Dr  Grand Chute WI  54915,Outagamie,6,63,147,145,1470145,5500390,2583,44.325835,-88.380881,Report received,68
D C Everest Idea Sch,D C Everest Area,High School,6,12,Public school,Regular,Charter,4704 Camp Phillips Rd  Weston WI  54476-1573,Marathon,9,672,4970,400,49700400,5513170,2885,44.91436,-89.573742,Report received,68
