SCHOOL,DISTRICT,SCH_TYPE,LOW_GRADE,HIGH_GRD,TYPE_DESC,SCH_CAT,CHARTER,FULL_ADDR,PHYS_COUNT,CESA,DPI_KEY,DIST_CODE,SCH_CODE,UNIQUE,NCES_DIST,NCES_SCH,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"21st Century eSchool","Middleton-Cross Plains Area","Combined Elementary/Secondary School",KG,12,"Public school",Regular,Charter,"2429 Clark St  Middleton WI  53562-2619",Dane,2,00536,3549,800,35490800,5509510,02818,43.102187,-89.510092,1,range_interpolation,2429,"Clark St",Middleton,WI,"Dane County",53562,US,"TIGER/Line® dataset from the US Census Bureau"
"21st Century Prep Sch","21st Century Prep Sch","Elementary School",K4,8,"Non District Charter Schools",Regular,Charter,"1220 Mound Ave  Racine WI  53404",Racine,1,71863,8110,100,81100100,5500045,02575,42.729156,-87.796006,1,rooftop,1220,"Mound Ave",Racine,WI,"Racine County",53404,US,Statewide
"4K Center for Literacy","Kimberly Area","Elementary School",K4,0,"Public school",Regular,No,"614 E Kimberly Ave  Kimberly WI  54136-1513",Outagamie,6,01341,2835,150,28350150,5507470,03029,44.272697,-88.327856,1,rooftop,614,"E Kimberly Ave",Kimberly,WI,"Outagamie County",54136,US,Outagamie
"4K Community Sch","Burlington Area","Elementary School",K4,0,"Public school",Regular,No,"100 N Kane St  Burlington WI  53105-1896",Racine,2,00934,0777,150,07770150,5501890,02987,42.675922,-88.276608,1,range_interpolation,100,"N Kane St",Burlington,WI,"Racine County",53105,US,"TIGER/Line® dataset from the US Census Bureau"
"4K Community-Based",Reedsburg,"Elementary School",K4,0,"Public school",Regular,No,"401 Alexander Ave  Reedsburg WI  53959-1592",Sauk,5,00702,4753,150,47530150,5512660,02889,43.529405,-90.024827,1,rooftop,401,"Alexander Ave",Reedsburg,WI,"Sauk County",53959,US,Sauk
"4K McFarland",McFarland,"Elementary School",K4,0,"Public school",Regular,No,"6009 Johnson St  McFarland WI  53558",Dane,2,00725,3381,150,33810150,5508910,02902,43.011247,-89.288282,1,rooftop,6009,"Johnson St","Mc Farland",WI,"Dane County",53558,US,Dane
"4K PK Off Site","Madison Metropolitan","Elementary School",K4,0,"Public school",Regular,No,"545 W Dayton St  Madison WI  53703",Dane,2,71291,3269,190,32690190,5508520,02475,43.070381,-89.395001,1,rooftop,545,"W Dayton St",Madison,WI,"Dane County",53703,US,Dane
"7 Rivers Community Hi","La Crosse","High School",9,12,"Public school",Regular,Charter,"Hogan Administrative Center 807 East Ave S La Crosse WI  54601","La Crosse",4,00880,2849,440,28490440,5507530,02950,43.806197,-91.140529,1,place,,,"La Crosse",WI,"La Crosse County",54601,US,"TIGER/Line® dataset from the US Census Bureau"
"Abbotsford El",Abbotsford,"Elementary School",K4,5,"Public school",Regular,No,"510 W Hemlock St  Abbotsford WI  54405",Clark,10,12331,0007,20,00070020,5500030,00001,44.949491,-90.331929,1,rooftop,510,"W Hemlock St",Abbotsford,WI,"Clark County",54405,US,Statewide
"Abbotsford Mid/Sr Hi",Abbotsford,"High School",6,12,"Public school",Regular,No,"307 N 4th Ave  Abbotsford WI  54405",Clark,10,12332,0007,40,00070040,5500030,00002,44.949198,-90.329379,1,rooftop,307,"N 4th Ave",Abbotsford,WI,"Clark County",54405,US,Statewide
"Abraham Lincoln El",Monroe,"Elementary School",K4,5,"Public school",Regular,No,"2625 14th Ave  Monroe WI  53566-3373",Green,2,07049,3682,10,36820010,5509840,02771,42.586977,-89.642618,1,rooftop,2625,"14th Ave",Monroe,WI,"Green County",53566,US,Green
"Abrams El","Oconto Falls Public","Elementary School",K4,5,"Public school",Regular,No,"3000 Elm St  Abrams WI  54101",Oconto,8,10398,4074,20,40740020,5510950,01431,44.782709,-88.055506,1,rooftop,3000,"Elm St",Abrams,WI,"Oconto County",54101,US,Statewide
"Acad of Accelerated Learning",Milwaukee,"Elementary School",K3,5,"Public school",Regular,No,"3727 S 78th St  Milwaukee WI  53220-1603",Milwaukee,1,05285,3619,316,36190316,5509600,01239,42.976024,-88.011543,1,rooftop,3727,"S 78th St",Milwaukee,WI,"Milwaukee County",53220,US,"City of Milwaukee"
"ACE Charter Sch","Neenah Joint","Elementary School",KG,5,"Public school",Regular,Charter,"215 E Forest Ave  Neenah WI  54956-2765",Winnebago,6,72844,3892,125,38920125,5510320,03366,44.190084,-88.454026,1,rooftop,215,"E Forest Ave",Neenah,WI,"Winnebago County",54956,US,Winnebago
"Adams El",Janesville,"Elementary School",K4,5,"Public school",Regular,No,"1138 E Memorial Dr  Janesville WI  53545-1800",Rock,2,06575,2695,20,26950020,5507020,00756,42.692722,-89.011024,1,rooftop,1138,"E Memorial Dr",Janesville,WI,"Rock County",53545,US,Rock
"Adams-Friendship El","Adams-Friendship Area","Elementary School",K4,4,"Public school",Regular,No,"500 N Pierce St  Adams WI  53910",Adams,5,09301,0014,130,00140130,5500060,01433,43.964934,-89.811332,1,rooftop,500,"N Pierce St",Adams,WI,"Adams County",53910,US,Adams
"Adams-Friendship Hi","Adams-Friendship Area","High School",9,12,"Public school",Regular,No,"1109 E North St  Adams WI  53910",Adams,5,09299,0014,40,00140040,5500060,00005,43.965989,-89.802263,1,rooftop,1109,"E North St",Adams,WI,"Adams County",53910,US,Statewide
"Adams-Friendship Mid","Adams-Friendship Area","Middle School",5,8,"Public school",Regular,No,"420 N Main St  Adams WI  53910",Adams,5,09300,0014,210,00140210,5500060,01454,43.963544,-89.817519,1,rooftop,420,"N Main St",Adams,WI,"Adams County",53910,US,Adams
"Addison El",Slinger,"Elementary School",K4,5,"Public school",Regular,No,"5050 Indian Rd  Hartford WI  53027",Washington,6,71851,5390,100,53900100,5513950,02540,43.375351,-88.298077,1,rooftop,5050,"Indian Dr",Hartford,WI,"Washington County",53027,US,Washington
"Advanced Learning Acad of WI","Barron Area","Combined Elementary/Secondary School",KG,12,"Public school",Regular,Charter,"Barron High 1050 E Woodland Ave Barron WI  54812-1052",Barron,11,00652,0308,810,03080810,5500870,02864,45.40135,-91.84906,1,place,,,Barron,WI,"Barron County",54812,US,"TIGER/Line® dataset from the US Census Bureau"
"Al Behrman El",Baraboo,"Elementary School",PK,5,"Public school",Regular,No,"400 Mulberry St  Baraboo WI  53913-3012",Sauk,5,09319,0280,180,02800180,5500810,00109,43.458286,-89.738499,1,rooftop,400,"Mulberry St",Baraboo,WI,"Sauk County",53913,US,Sauk
ALBA,Milwaukee,"Elementary School",K3,5,"Public school",Regular,Charter,"1712 S 32nd St  Milwaukee WI  53215-2104",Milwaukee,1,72846,3619,162,36190162,5509600,03371,43.011558,-87.953331,1,rooftop,1712,"S 32nd St",Milwaukee,WI,"Milwaukee County",53215,US,"City of Milwaukee"
"Albany Community Mid",Albany,"Middle School",6,8,"Public school",Regular,No,"400 5th St  Albany WI  53502-9504",Green,2,05924,0063,60,00630060,5500120,02357,42.707279,-89.434039,1,rooftop,400,"5th St",Albany,WI,"Green County",53502,US,Statewide
"Albany El",Albany,"Elementary School",K4,5,"Public school",Regular,No,"400 5th St  Albany WI  53502-9504",Green,2,05922,0063,20,00630020,5500120,00013,42.707279,-89.434039,1,rooftop,400,"5th St",Albany,WI,"Green County",53502,US,Statewide
"Albany Hi",Albany,"High School",9,12,"Public school",Regular,No,"400 5th St  Albany WI  53502-9504",Green,2,05923,0063,40,00630040,5500120,00014,42.707279,-89.434039,1,rooftop,400,"5th St",Albany,WI,"Green County",53502,US,Statewide
"Alcott El",Milwaukee,"Elementary School",K3,8,"Public school",Regular,No,"3563 S 97th St  Milwaukee WI  53228-1416",Milwaukee,1,05599,3619,75,36190075,5509600,01121,42.979106,-88.035207,1,rooftop,3563,"S 97th St",Milwaukee,WI,"Milwaukee County",53228,US,"City of Milwaukee"
"Aldo Leopold Comm Sch K-8","Green Bay Area Public","Combined Elementary/Secondary School",K4,8,"Public school",Regular,No,"622 Eliza St  Green Bay WI  54301-3229",Brown,7,11772,2289,20,22890020,5505820,00610,44.500378,-88.017785,1,rooftop,622,"Eliza St","Green Bay",WI,"Brown County",54301,US,Brown
"Aldrich Intermediate",Beloit,"Combined Elementary/Secondary School",4,8,"Public school",Regular,No,"1859 Northgate Dr  Beloit WI  53511-2699",Rock,2,06033,0413,20,04130020,5501050,00137,42.535266,-89.013053,1,rooftop,1859,"Northgate Dr",Beloit,WI,"Rock County",53511,US,Rock
"Alexander Mid",Nekoosa,"Combined Elementary/Secondary School",4,8,"Public school",Regular,No,"540 Birch St  Nekoosa WI  54457-1318",Wood,5,12968,3906,20,39060020,5510380,01358,44.309455,-89.916479,1,rooftop,540,"Birch St",Nekoosa,WI,"Wood County",54457,US,Wood
"Algoma El",Algoma,"Elementary School",K4,6,"Public school",Regular,No,"514 Fremont St  Algoma WI  54201-1395",Kewaunee,7,11283,0070,20,00700020,5500150,00015,44.606585,-87.439932,1,range_interpolation,514,"Fremont St",Algoma,WI,"Kewaunee County",54201,US,"TIGER/Line® dataset from the US Census Bureau"
"Algoma Hi",Algoma,"High School",7,12,"Public school",Regular,No,"1715 Division St  Algoma WI  54201-1498",Kewaunee,7,11284,0070,40,00700040,5500150,00016,44.599594,-87.444206,1,range_interpolation,1715,"Division St",Algoma,WI,"Kewaunee County",54201,US,"TIGER/Line® dataset from the US Census Bureau"
"All Dist 4 Yr Old Kindergarten","Racine Unified","Elementary School",K4,0,"Public school",Regular,No,"2015 Franklin St  Racine WI  53403-2634",Racine,1,00207,4620,113,46200113,5512360,02657,42.705576,-87.789972,1,rooftop,2015,"Franklin St",Racine,WI,"Racine County",53403,US,Statewide
"Allen-Field El",Milwaukee,"Elementary School",K3,5,"Public school",Regular,No,"730 W Lapham Blvd  Milwaukee WI  53204-3428",Milwaukee,1,04487,3619,73,36190073,5509600,01122,43.015111,-87.920394,1,rooftop,730,"W Lapham Bl",Milwaukee,WI,"Milwaukee County",53204,US,"City of Milwaukee"
"Allenton El",Slinger,"Elementary School",K4,5,"Public school",Regular,No,"228 Weis St  Allenton WI  53002-9570",Washington,6,00825,5390,10,53900010,5513950,01818,43.416429,-88.335629,1,rooftop,228,"Weis St",Allenton,WI,"Washington County",53002,US,Washington
"Alliance Sch of Milw",Milwaukee,"High School",9,12,"Public school",Regular,Charter,"850 W Walnut St  Milwaukee WI  53205",Milwaukee,1,00089,3619,413,36190413,5509600,02603,43.053795,-87.92147,1,rooftop,850,"W Walnut St",Milwaukee,WI,"Milwaukee County",53205,US,"City of Milwaukee"
"Allis El","Madison Metropolitan","Elementary School",K4,5,"Public school",Regular,No,"4201 Buckeye Rd  Madison WI  53716-1648",Dane,2,08628,3269,225,32690225,5508520,00929,43.076807,-89.320972,1,rooftop,4201,"Buckeye Rd",Madison,WI,"Dane County",53716,US,Dane
"Alma El",Alma,"Elementary School",K4,8,"Public school",Regular,No,"S1618 State Road 35  Alma WI  54610-8301",Buffalo,4,14406,0084,20,00840020,5500180,00017,44.375506,-91.959148,1,street_center,,"State Hwy 35",Alma,WI,"Buffalo County",54610,US,"TIGER/Line® dataset from the US Census Bureau"
"Alma Hi",Alma,"High School",9,12,"Public school",Regular,No,"S1618 State Road 35  Alma WI  54610-8301",Buffalo,4,14407,0084,40,00840040,5500180,00018,44.375506,-91.959148,1,street_center,,"State Hwy 35",Alma,WI,"Buffalo County",54610,US,"TIGER/Line® dataset from the US Census Bureau"
"Almena El","Barron Area","Elementary School",KG,4,"Public school",Regular,No,"230 Lulu Ave  Almena WI  54805",Barron,11,16201,0308,20,03080020,5500870,00113,45.416493,-92.033573,0.9,rooftop,230,"Lulu Ave E",Almena,WI,"Barron County",54805,US,Statewide
"Almond-Bancroft El",Almond-Bancroft,"Elementary School",K4,5,"Public school",Regular,No,"1336 Elm St  Almond WI  54909",Portage,5,17313,0105,20,01050020,5500240,00023,44.260442,-89.412962,1,rooftop,1336,"Elm St",Almond,WI,"Portage County",54909,US,Portage
"Almond-Bancroft Hi",Almond-Bancroft,"High School",9,12,"Public school",Regular,No,"1336 Elm St  Almond WI  54909",Portage,5,17314,0105,40,01050040,5500240,00024,44.260442,-89.412962,1,rooftop,1336,"Elm St",Almond,WI,"Portage County",54909,US,Portage
"Almond-Bancroft Mid",Almond-Bancroft,"Middle School",6,8,"Public school",Regular,No,"1336 Elm St  Almond WI  54909",Portage,5,01576,0105,250,01050250,5500240,03076,44.260442,-89.412962,1,rooftop,1336,"Elm St",Almond,WI,"Portage County",54909,US,Portage
ALPS,"Oshkosh Area","Combined Elementary/Secondary School",4,8,"Public school",Regular,Charter,"325 S Eagle St  Oshkosh WI  54902",Winnebago,6,72836,4179,170,41790170,5511190,03364,44.014885,-88.573229,1,rooftop,325,"S Eagle St",Oshkosh,WI,"Winnebago County",54902,US,Winnebago
"Altoona El",Altoona,"Elementary School",K4,3,"Public school",Regular,No,"157 Bartlett Ave  Altoona WI  54720-2361","Eau Claire",10,15356,0112,80,01120080,5500270,00028,44.803599,-91.422817,1,range_interpolation,157,"Bartlett Ave",Altoona,WI,"Eau Claire County",54720,US,"TIGER/Line® dataset from the US Census Bureau"
